Codes,Names,Level_4_qualifications,Mean_Annual_Household_Income
E01000862,Camden 018E,4702.00 ,4668.00 
E01000856,Camden 019A,2644.00 ,1520.00 
E01000861,Camden 019B,3653.00 ,2173.00 
E01000957,Camden 019C,3302.00 ,1874.00 
E01000958,Camden 019D,3823.00 ,1544.00 
E01000959,Camden 019E,1446.00 ,347.00 
E01000929,Camden 020A,1813.00 ,1353.00 
E01000930,Camden 020B,3460.00 ,737.00 
E01000933,Camden 020C,4456.00 ,3221.00 
E01000934,Camden 020D,2508.00 ,998.00 
E01000935,Camden 020E,1536.00 ,1059.00 
E01000863,Camden 021A,4005.00 ,3601.00 
E01000946,Camden 021B,3548.00 ,3375.00 
E01000947,Camden 021C,4464.00 ,2086.00 
E01000948,Camden 021D,4104.00 ,3593.00 
E01000952,Camden 022A,1600.00 ,719.00 
E01000953,Camden 022B,1276.00 ,468.00 
E01000954,Camden 022C,276.00 ,244.00 
E01000955,Camden 022D,779.00 ,386.00 
E01000956,Camden 022E,1749.00 ,1112.00 
E01000944,Camden 023A,1175.00 ,598.00 
E01000945,Camden 023B,2667.00 ,1574.00 
E01000949,Camden 023C,1883.00 ,2014.00 
E01000950,Camden 023D,465.00 ,105.00 
E01000951,Camden 023E,1276.00 ,263.00 
E01000936,Camden 024A,3522.00 ,1823.00 
E01000938,Camden 024B,2972.00 ,1327.00 
E01000939,Camden 024C,308.00 ,579.00 
E01000940,Camden 024D,2142.00 ,1764.00 
E01000853,Camden 025A,2807.00 ,1928.00 
E01000937,Camden 025B,3552.00 ,1762.00 
E01000941,Camden 025C,772.00 ,552.00 
E01000942,Camden 025D,3795.00 ,2484.00 
E01000943,Camden 025E,2965.00 ,2406.00 
E01000850,Camden 026A,4585.00 ,3864.00 
E01000851,Camden 026B,4462.00 ,3219.00 
E01000852,Camden 026C,3367.00 ,2604.00 
E01000854,Camden 026D,3616.00 ,2027.00 
E01000915,Camden 027A,2381.00 ,1854.00 
E01000916,Camden 027B,4284.00 ,2799.00 
E01000917,Camden 027C,2652.00 ,981.00 
E01000920,Camden 027D,4544.00 ,3286.00 
E01000855,Camden 028A,4776.00 ,3000.00 
E01000914,Camden 028B,4595.00 ,3328.00 
E01000918,Camden 028C,4466.00 ,2904.00 
E01000919,Camden 028D,4056.00 ,3065.00 
E01000001,City of London 001A,4736.00 ,4527.00 
E01000002,City of London 001B,4715.00 ,4494.00 
E01000003,City of London 001C,3845.00 ,2692.00 
E01000005,City of London 001E,786.00 ,512.00 
E01032739,City of London 001F,3912.00 ,4341.00 
E01032740,City of London 001G,4343.00 ,4313.00 
E01001808,Hackney 001A,434.00 ,2804.00 
E01001809,Hackney 001B,1062.00 ,2426.00 
E01001814,Hackney 001C,1457.00 ,2293.00 
E01001823,Hackney 001D,526.00 ,2211.00 
E01001825,Hackney 001E,21.00 ,3250.00 
E01001714,Hackney 002A,1657.00 ,777.00 
E01001811,Hackney 002D,336.00 ,89.00 
E01001813,Hackney 002E,566.00 ,68.00 
E01033701,Hackney 002F,1768.00 ,97.00 
E01001799,Hackney 003A,1340.00 ,3394.00 
E01001802,Hackney 003B,846.00 ,1783.00 
E01001804,Hackney 003C,1141.00 ,3027.00 
E01001807,Hackney 003D,2236.00 ,2140.00 
E01001812,Hackney 003E,1693.00 ,2075.00 
E01001725,Hackney 004A,1322.00 ,2819.00 
E01001726,Hackney 004B,355.00 ,738.00 
E01001800,Hackney 004C,604.00 ,989.00 
E01001824,Hackney 004D,234.00 ,1061.00 
E01001826,Hackney 004E,456.00 ,1382.00 
E01001723,Hackney 006A,3650.00 ,3343.00 
E01001724,Hackney 006B,4658.00 ,2688.00 
E01001727,Hackney 006C,2460.00 ,3436.00 
E01001768,Hackney 006D,4175.00 ,3235.00 
E01001769,Hackney 006E,3522.00 ,3100.00 
E01001715,Hackney 007A,4175.00 ,3638.00 
E01001716,Hackney 007B,2972.00 ,1728.00 
E01001717,Hackney 007C,2245.00 ,3283.00 
E01001718,Hackney 007D,4778.00 ,4165.00 
E01001719,Hackney 007E,1550.00 ,1440.00 
E01001720,Hackney 007F,4713.00 ,4117.00 
E01001742,Hackney 008A,3823.00 ,2656.00 
E01001801,Hackney 008B,1805.00 ,2313.00 
E01001803,Hackney 008C,4149.00 ,3853.00 
E01001806,Hackney 008D,3505.00 ,2866.00 
E01001741,Hackney 009A,3957.00 ,4312.00 
E01001805,Hackney 009B,3065.00 ,3509.00 
E01001829,Hackney 009C,4512.00 ,4446.00 
E01001831,Hackney 009D,4071.00 ,3165.00 
E01001832,Hackney 009E,3865.00 ,3115.00 
E01001764,Hackney 010A,3247.00 ,1848.00 
E01001765,Hackney 010B,988.00 ,201.00 
E01001767,Hackney 010D,3227.00 ,2391.00 
E01001770,Hackney 010E,2480.00 ,762.00 
E01033703,Hackney 010F,2667.00 ,1048.00 
E01033713,Hackney 010G,2870.00 ,1689.00 
E01001792,Hackney 011A,3268.00 ,2258.00 
E01001793,Hackney 011B,3622.00 ,2529.00 
E01001794,Hackney 011C,3709.00 ,3261.00 
E01001795,Hackney 011D,3378.00 ,2838.00 
E01001796,Hackney 011E,3392.00 ,1747.00 
E01001736,Hackney 012A,4051.00 ,3751.00 
E01001737,Hackney 012B,4537.00 ,4128.00 
E01001738,Hackney 012C,4219.00 ,3614.00 
E01001739,Hackney 012D,4711.00 ,3988.00 
E01001786,Hackney 013A,1012.00 ,324.00 
E01001787,Hackney 013B,308.00 ,147.00 
E01001788,Hackney 013C,864.00 ,277.00 
E01001790,Hackney 013D,443.00 ,203.00 
E01001740,Hackney 014A,1842.00 ,596.00 
E01001747,Hackney 014B,4554.00 ,2592.00 
E01001830,Hackney 014C,3582.00 ,1366.00 
E01001833,Hackney 014D,4456.00 ,2284.00 
E01001834,Hackney 014E,4672.00 ,3008.00 
E01001835,Hackney 014F,3362.00 ,3795.00 
E01001733,Hackney 015A,3725.00 ,2471.00 
E01001785,Hackney 015B,2570.00 ,1723.00 
E01001789,Hackney 015C,3354.00 ,2623.00 
E01001791,Hackney 015D,1430.00 ,1350.00 
E01001745,Hackney 016A,3768.00 ,907.00 
E01001746,Hackney 016B,1090.00 ,556.00 
E01001757,Hackney 016C,1622.00 ,476.00 
E01001758,Hackney 016D,3344.00 ,883.00 
E01001759,Hackney 016E,3639.00 ,1795.00 
E01001761,Hackney 016F,3392.00 ,1294.00 
E01001731,Hackney 017A,4198.00 ,1172.00 
E01001734,Hackney 017B,3927.00 ,1773.00 
E01001760,Hackney 017C,3285.00 ,1622.00 
E01001762,Hackney 017D,4313.00 ,2654.00 
E01001846,Hackney 018A,597.00 ,832.00 
E01001847,Hackney 018B,649.00 ,685.00 
E01001848,Hackney 018C,2644.00 ,1542.00 
E01001849,Hackney 018D,4082.00 ,1389.00 
E01001729,Hackney 019A,2391.00 ,317.00 
E01001730,Hackney 019B,1226.00 ,187.00 
E01001732,Hackney 019C,1293.00 ,225.00 
E01001735,Hackney 019D,3016.00 ,1962.00 
E01001838,Hackney 019E,824.00 ,112.00 
E01001850,Hackney 019F,680.00 ,133.00 
E01001748,Hackney 020A,4763.00 ,2629.00 
E01001749,Hackney 020B,4521.00 ,3762.00 
E01001763,Hackney 020C,3540.00 ,2607.00 
E01001816,Hackney 020D,3384.00 ,3075.00 
E01001819,Hackney 020E,3618.00 ,3637.00 
E01001744,Hackney 021B,3670.00 ,2281.00 
E01001750,Hackney 021C,4019.00 ,2782.00 
E01001751,Hackney 021D,4631.00 ,4642.00 
E01001756,Hackney 021E,4802.00 ,3727.00 
E01033698,Hackney 021F,1409.00 ,687.00 
E01033699,Hackney 021G,3136.00 ,2577.00 
E01033700,Hackney 021H,4271.00 ,3085.00 
E01033707,Hackney 021I,3022.00 ,1652.00 
E01001836,Hackney 022A,3371.00 ,2721.00 
E01001840,Hackney 022B,2034.00 ,895.00 
E01001841,Hackney 022C,2517.00 ,2781.00 
E01001844,Hackney 022D,4056.00 ,3323.00 
E01001845,Hackney 022E,1129.00 ,630.00 
E01001837,Hackney 023B,3983.00 ,4068.00 
E01001839,Hackney 023C,4653.00 ,2156.00 
E01001842,Hackney 023D,2335.00 ,1343.00 
E01001843,Hackney 023E,2106.00 ,3198.00 
E01033704,Hackney 023F,4511.00 ,3538.00 
E01033712,Hackney 023G,3768.00 ,1845.00 
E01001772,Hackney 024A,395.00 ,258.00 
E01001774,Hackney 024B,4251.00 ,1755.00 
E01001775,Hackney 024C,2203.00 ,378.00 
E01001815,Hackney 024D,2674.00 ,811.00 
E01001820,Hackney 024E,1786.00 ,1073.00 
E01001821,Hackney 024F,1499.00 ,429.00 
E01001752,Hackney 025A,4795.00 ,3204.00 
E01001753,Hackney 025B,1648.00 ,488.00 
E01001754,Hackney 025C,4456.00 ,1675.00 
E01001755,Hackney 025D,2265.00 ,905.00 
E01001773,Hackney 025E,3751.00 ,1241.00 
E01001776,Hackney 025F,1668.00 ,333.00 
E01001779,Hackney 026A,4449.00 ,1602.00 
E01001781,Hackney 026B,1911.00 ,166.00 
E01001782,Hackney 026C,4706.00 ,3241.00 
E01001783,Hackney 026D,2410.00 ,342.00 
E01001777,Hackney 027B,4369.00 ,1260.00 
E01001780,Hackney 027D,3445.00 ,1340.00 
E01001784,Hackney 027E,3445.00 ,909.00 
E01033706,Hackney 027F,4562.00 ,3908.00 
E01033708,Hackney 027G,4722.00 ,4325.00 
E01033709,Hackney 027H,3852.00 ,2362.00 
E01033711,Hackney 027I,3302.00 ,3189.00 
E01001798,Hackney 028A,1600.00 ,501.00 
E01001828,Hackney 028B,2189.00 ,597.00 
E01033702,Hackney 028C,1116.00 ,1151.00 
E01033705,Hackney 028D,1397.00 ,1180.00 
E01033710,Hackney 028E,1642.00 ,1488.00 
E01001722,Hackney 029A,2797.00 ,1244.00 
E01001728,Hackney 029B,208.00 ,1600.00 
E01001822,Hackney 029C,730.00 ,426.00 
E01001827,Hackney 029D,413.00 ,821.00 
E01001874,Hammersmith and Fulham 001A,3718.00 ,2002.00 
E01001875,Hammersmith and Fulham 001B,1303.00 ,1143.00 
E01001876,Hammersmith and Fulham 001C,3664.00 ,1209.00 
E01001877,Hammersmith and Fulham 001D,1488.00 ,1794.00 
E01001878,Hammersmith and Fulham 001E,680.00 ,1313.00 
E01001955,Hammersmith and Fulham 002A,1258.00 ,729.00 
E01001957,Hammersmith and Fulham 002B,465.00 ,54.00 
E01001958,Hammersmith and Fulham 002C,465.00 ,23.00 
E01001961,Hammersmith and Fulham 002D,514.00 ,43.00 
E01001954,Hammersmith and Fulham 003A,2797.00 ,2558.00 
E01001956,Hammersmith and Fulham 003B,2698.00 ,2905.00 
E01001959,Hammersmith and Fulham 003C,1536.00 ,1757.00 
E01001960,Hammersmith and Fulham 003D,4373.00 ,3280.00 
E01001943,Hammersmith and Fulham 004A,4258.00 ,2578.00 
E01001944,Hammersmith and Fulham 004B,1930.00 ,202.00 
E01001945,Hammersmith and Fulham 004C,3838.00 ,3025.00 
E01001946,Hammersmith and Fulham 004D,3664.00 ,2740.00 
E01001862,Hammersmith and Fulham 005A,3362.00 ,2385.00 
E01001940,Hammersmith and Fulham 005B,3227.00 ,2174.00 
E01001941,Hammersmith and Fulham 005C,4411.00 ,2950.00 
E01001942,Hammersmith and Fulham 005D,4175.00 ,3062.00 
E01001858,Hammersmith and Fulham 006A,3460.00 ,2495.00 
E01001860,Hammersmith and Fulham 006B,3136.00 ,1718.00 
E01001861,Hammersmith and Fulham 006C,2797.00 ,2540.00 
E01001863,Hammersmith and Fulham 006D,3482.00 ,3656.00 
E01001864,Hammersmith and Fulham 006E,3387.00 ,3112.00 
E01001852,Hammersmith and Fulham 007A,4747.00 ,3670.00 
E01001853,Hammersmith and Fulham 007B,4301.00 ,4188.00 
E01001854,Hammersmith and Fulham 007C,4386.00 ,3087.00 
E01001857,Hammersmith and Fulham 007D,2552.00 ,1092.00 
E01001859,Hammersmith and Fulham 008A,4670.00 ,2565.00 
E01001865,Hammersmith and Fulham 008B,3871.00 ,3891.00 
E01001927,Hammersmith and Fulham 008C,3820.00 ,4697.00 
E01001930,Hammersmith and Fulham 008D,4146.00 ,3147.00 
E01001895,Hammersmith and Fulham 009A,3674.00 ,3708.00 
E01001896,Hammersmith and Fulham 009B,3311.00 ,2828.00 
E01001897,Hammersmith and Fulham 009C,3696.00 ,4506.00 
E01001929,Hammersmith and Fulham 009D,3611.00 ,4620.00 
E01001851,Hammersmith and Fulham 010A,4313.00 ,4667.00 
E01001855,Hammersmith and Fulham 010B,4557.00 ,4061.00 
E01001856,Hammersmith and Fulham 010C,3696.00 ,3035.00 
E01001869,Hammersmith and Fulham 010D,3725.00 ,4736.00 
E01001873,Hammersmith and Fulham 010E,3337.00 ,2976.00 
E01001928,Hammersmith and Fulham 011A,3820.00 ,3984.00 
E01001931,Hammersmith and Fulham 011B,3645.00 ,2646.00 
E01001932,Hammersmith and Fulham 011C,4121.00 ,3157.00 
E01001933,Hammersmith and Fulham 011D,3407.00 ,4069.00 
E01001866,Hammersmith and Fulham 012A,4184.00 ,4030.00 
E01001867,Hammersmith and Fulham 012B,3674.00 ,3209.00 
E01001868,Hammersmith and Fulham 012C,1216.00 ,1205.00 
E01001870,Hammersmith and Fulham 012D,4750.00 ,3133.00 
E01001871,Hammersmith and Fulham 012E,4335.00 ,4106.00 
E01001872,Hammersmith and Fulham 012F,4389.00 ,3810.00 
E01001893,Hammersmith and Fulham 013A,1301.00 ,1667.00 
E01001894,Hammersmith and Fulham 013B,2652.00 ,2306.00 
E01001898,Hammersmith and Fulham 013C,4075.00 ,3597.00 
E01001899,Hammersmith and Fulham 013D,1515.00 ,1420.00 
E01001900,Hammersmith and Fulham 013E,3392.00 ,2500.00 
E01001889,Hammersmith and Fulham 014A,3941.00 ,4168.00 
E01001910,Hammersmith and Fulham 014B,4363.00 ,3622.00 
E01001913,Hammersmith and Fulham 014C,4753.00 ,4598.00 
E01001914,Hammersmith and Fulham 014D,4531.00 ,3109.00 
E01001885,Hammersmith and Fulham 015A,321.00 ,232.00 
E01001908,Hammersmith and Fulham 015B,4471.00 ,3333.00 
E01001909,Hammersmith and Fulham 015C,4156.00 ,2968.00 
E01001911,Hammersmith and Fulham 015D,2603.00 ,1211.00 
E01001912,Hammersmith and Fulham 015E,1457.00 ,1031.00 
E01001886,Hammersmith and Fulham 016A,2864.00 ,2332.00 
E01001887,Hammersmith and Fulham 016B,3154.00 ,2425.00 
E01001890,Hammersmith and Fulham 016C,4585.00 ,3031.00 
E01001892,Hammersmith and Fulham 016D,2451.00 ,2241.00 
E01001880,Hammersmith and Fulham 017A,3434.00 ,3155.00 
E01001881,Hammersmith and Fulham 017B,4316.00 ,4359.00 
E01001882,Hammersmith and Fulham 017C,4615.00 ,4376.00 
E01001883,Hammersmith and Fulham 017D,3354.00 ,2882.00 
E01001884,Hammersmith and Fulham 017E,3951.00 ,2831.00 
E01001888,Hammersmith and Fulham 018A,4082.00 ,4103.00 
E01001891,Hammersmith and Fulham 018B,4772.00 ,3858.00 
E01001917,Hammersmith and Fulham 018C,3407.00 ,4012.00 
E01001918,Hammersmith and Fulham 018D,3702.00 ,4328.00 
E01001919,Hammersmith and Fulham 018E,3744.00 ,4605.00 
E01001879,Hammersmith and Fulham 019A,3065.00 ,2982.00 
E01001901,Hammersmith and Fulham 019B,4115.00 ,4592.00 
E01001902,Hammersmith and Fulham 019C,4316.00 ,3443.00 
E01001903,Hammersmith and Fulham 019D,3148.00 ,2514.00 
E01001920,Hammersmith and Fulham 020A,2921.00 ,2507.00 
E01001921,Hammersmith and Fulham 020B,3903.00 ,4415.00 
E01001922,Hammersmith and Fulham 020C,4029.00 ,4708.00 
E01001923,Hammersmith and Fulham 020D,3820.00 ,4395.00 
E01001924,Hammersmith and Fulham 020E,4280.00 ,4759.00 
E01001947,Hammersmith and Fulham 021A,1166.00 ,616.00 
E01001948,Hammersmith and Fulham 021B,4726.00 ,4390.00 
E01001949,Hammersmith and Fulham 021C,4308.00 ,4650.00 
E01001950,Hammersmith and Fulham 021D,4400.00 ,4704.00 
E01001951,Hammersmith and Fulham 021E,4340.00 ,4195.00 
E01001953,Hammersmith and Fulham 021F,3199.00 ,2971.00 
E01001904,Hammersmith and Fulham 022A,4273.00 ,4439.00 
E01001905,Hammersmith and Fulham 022B,4456.00 ,4535.00 
E01001906,Hammersmith and Fulham 022C,4295.00 ,4426.00 
E01001907,Hammersmith and Fulham 022D,3529.00 ,4588.00 
E01001935,Hammersmith and Fulham 023A,4606.00 ,3906.00 
E01001939,Hammersmith and Fulham 023C,3847.00 ,3080.00 
E01032788,Hammersmith and Fulham 023D,2167.00 ,3051.00 
E01032789,Hammersmith and Fulham 023E,3045.00 ,3579.00 
E01032790,Hammersmith and Fulham 023F,2265.00 ,3892.00 
E01001915,Hammersmith and Fulham 024A,3876.00 ,4675.00 
E01001916,Hammersmith and Fulham 024B,3976.00 ,4725.00 
E01001926,Hammersmith and Fulham 024C,4087.00 ,4732.00 
E01001952,Hammersmith and Fulham 024D,4602.00 ,3963.00 
E01001925,Hammersmith and Fulham 025A,3903.00 ,4783.00 
E01001934,Hammersmith and Fulham 025B,2774.00 ,2757.00 
E01001937,Hammersmith and Fulham 025C,4503.00 ,4546.00 
E01001938,Hammersmith and Fulham 025D,2552.00 ,2596.00 
E01001969,Haringey 001A,3194.00 ,1154.00 
E01001971,Haringey 001B,1715.00 ,98.00 
E01001974,Haringey 001C,4301.00 ,2022.00 
E01001975,Haringey 001D,3205.00 ,2060.00 
E01002036,Haringey 002A,260.00 ,32.00 
E01002037,Haringey 002B,649.00 ,20.00 
E01002039,Haringey 002C,129.00 ,1.00 
E01002040,Haringey 002D,1012.00 ,157.00 
E01001962,Haringey 004A,3653.00 ,3659.00 
E01001970,Haringey 004B,2801.00 ,637.00 
E01001972,Haringey 004C,2768.00 ,1203.00 
E01001973,Haringey 004D,4082.00 ,2738.00 
E01002090,Haringey 005A,376.00 ,367.00 
E01002093,Haringey 005B,271.00 ,49.00 
E01002096,Haringey 005C,632.00 ,118.00 
E01002097,Haringey 005D,584.00 ,164.00 
E01002091,Haringey 006A,265.00 ,14.00 
E01002092,Haringey 006B,988.00 ,84.00 
E01002094,Haringey 006C,538.00 ,155.00 
E01002095,Haringey 006D,584.00 ,161.00 
E01002098,Haringey 007A,2946.00 ,2283.00 
E01002101,Haringey 007B,2570.00 ,1226.00 
E01002102,Haringey 007C,3311.00 ,1218.00 
E01002105,Haringey 007D,3311.00 ,580.00 
E01002099,Haringey 008A,1612.00 ,27.00 
E01002100,Haringey 008B,1957.00 ,368.00 
E01002103,Haringey 008C,2391.00 ,1039.00 
E01002104,Haringey 008D,1648.00 ,805.00 
E01001963,Haringey 009A,4316.00 ,4466.00 
E01001964,Haringey 009B,3976.00 ,3861.00 
E01001965,Haringey 009C,4213.00 ,4364.00 
E01001966,Haringey 009D,3802.00 ,4561.00 
E01002027,Haringey 010A,2307.00 ,878.00 
E01002028,Haringey 010B,2874.00 ,927.00 
E01002032,Haringey 010C,1866.00 ,188.00 
E01002033,Haringey 010D,1990.00 ,320.00 
E01001976,Haringey 011A,1012.00 ,294.00 
E01001977,Haringey 011B,649.00 ,171.00 
E01001978,Haringey 011C,1463.00 ,141.00 
E01001979,Haringey 011D,1930.00 ,40.00 
E01002074,Haringey 012A,1020.00 ,50.00 
E01002077,Haringey 012B,689.00 ,13.00 
E01002079,Haringey 012C,1062.00 ,569.00 
E01002081,Haringey 012D,618.00 ,4.00 
E01002082,Haringey 013A,106.00 ,6.00 
E01002086,Haringey 013B,1622.00 ,327.00 
E01002088,Haringey 013C,2844.00 ,1070.00 
E01002089,Haringey 013D,60.00 ,2.00 
E01001967,Haringey 014A,4202.00 ,4536.00 
E01001968,Haringey 014B,4517.00 ,4088.00 
E01001996,Haringey 014C,3933.00 ,3980.00 
E01001997,Haringey 014D,4362.00 ,4031.00 
E01002075,Haringey 015A,995.00 ,96.00 
E01002076,Haringey 015B,1175.00 ,86.00 
E01002078,Haringey 015C,2492.00 ,214.00 
E01002080,Haringey 015D,1668.00 ,591.00 
E01002026,Haringey 016A,1216.00 ,30.00 
E01002029,Haringey 016B,2417.00 ,334.00 
E01002030,Haringey 016C,3022.00 ,1482.00 
E01002031,Haringey 016D,3595.00 ,790.00 
E01001991,Haringey 017A,4444.00 ,4151.00 
E01001992,Haringey 017B,4400.00 ,4634.00 
E01001993,Haringey 017C,4426.00 ,4686.00 
E01001995,Haringey 017D,3847.00 ,2642.00 
E01001980,Haringey 018A,2223.00 ,480.00 
E01001981,Haringey 018B,1849.00 ,438.00 
E01001982,Haringey 018C,2153.00 ,534.00 
E01001983,Haringey 018D,2440.00 ,1230.00 
E01002083,Haringey 019A,1943.00 ,1554.00 
E01002084,Haringey 019B,2492.00 ,1121.00 
E01002085,Haringey 019C,3622.00 ,640.00 
E01002087,Haringey 019D,2451.00 ,663.00 
E01002014,Haringey 020B,4335.00 ,3046.00 
E01002015,Haringey 020C,2883.00 ,1990.00 
E01002018,Haringey 020D,2856.00 ,2612.00 
E01033085,Haringey 020E,4273.00 ,1463.00 
E01033086,Haringey 020F,344.00 ,33.00 
E01002020,Haringey 021A,3903.00 ,3711.00 
E01002022,Haringey 021B,4756.00 ,3997.00 
E01002023,Haringey 021C,4091.00 ,4366.00 
E01002025,Haringey 021D,4609.00 ,4632.00 
E01002013,Haringey 022A,3773.00 ,4045.00 
E01002019,Haringey 022B,3778.00 ,4497.00 
E01002021,Haringey 022C,4151.00 ,4485.00 
E01002024,Haringey 022D,3194.00 ,4025.00 
E01001998,Haringey 023A,4503.00 ,2454.00 
E01001999,Haringey 023B,4203.00 ,1779.00 
E01002003,Haringey 023C,3362.00 ,315.00 
E01002004,Haringey 023D,4044.00 ,2068.00 
E01002067,Haringey 024A,1397.00 ,153.00 
E01002069,Haringey 024B,2323.00 ,169.00 
E01002070,Haringey 024C,3161.00 ,675.00 
E01002073,Haringey 024D,1474.00 ,222.00 
E01002066,Haringey 025A,1409.00 ,95.00 
E01002068,Haringey 025B,2725.00 ,577.00 
E01002071,Haringey 025C,1040.00 ,28.00 
E01002072,Haringey 025D,2373.00 ,150.00 
E01002043,Haringey 026A,3036.00 ,625.00 
E01002045,Haringey 026B,2801.00 ,423.00 
E01002046,Haringey 026C,1389.00 ,280.00 
E01002049,Haringey 026D,2142.00 ,374.00 
E01002042,Haringey 027A,2440.00 ,1190.00 
E01002044,Haringey 027B,3416.00 ,1352.00 
E01002047,Haringey 027C,3529.00 ,1387.00 
E01002048,Haringey 027D,3378.00 ,1066.00 
E01002016,Haringey 028A,4483.00 ,3138.00 
E01002017,Haringey 028B,4329.00 ,3483.00 
E01002059,Haringey 028C,3664.00 ,3199.00 
E01002060,Haringey 028D,4567.00 ,4078.00 
E01002050,Haringey 029A,303.00 ,2019.00 
E01002051,Haringey 029B,1266.00 ,419.00 
E01002052,Haringey 029C,376.00 ,1666.00 
E01002055,Haringey 029D,324.00 ,1864.00 
E01001994,Haringey 030A,4498.00 ,4241.00 
E01002008,Haringey 030B,4082.00 ,4690.00 
E01002010,Haringey 030C,4140.00 ,4079.00 
E01002011,Haringey 030D,4540.00 ,3944.00 
E01002000,Haringey 031A,3823.00 ,2510.00 
E01002001,Haringey 031B,4113.00 ,2576.00 
E01002002,Haringey 031C,4063.00 ,1472.00 
E01002058,Haringey 031D,3601.00 ,1508.00 
E01002053,Haringey 032A,1567.00 ,219.00 
