Codes,Names,Population_Density, Census_Population_All Ages,house_price,Unemployment_Rate,Level_4_qualifications,Mean_Annual_Household_Income
E01000872,Camden 005B,1479.00 ,4024.00 ,3360.00 ,1690.00 ,4426.00 ,2523.00 
E01000873,Camden 005C,986.00 ,2281.00 ,4402.00 ,874.00 ,4544.00 ,4450.00 
E01000874,Camden 005D,341.00 ,1476.00 ,4478.00 ,513.00 ,4527.00 ,4564.00 
E01000877,Camden 005E,765.00 ,1614.00 ,4681.00 ,1516.00 ,4456.00 ,4467.00 
E01000886,Camden 006A,612.00 ,645.00 ,4047.00 ,1007.00 ,3941.00 ,4293.00 
E01000887,Camden 006B,561.00 ,876.00 ,3942.00 ,1866.00 ,4123.00 ,3903.00 
E01000888,Camden 006C,459.00 ,1916.00 ,4247.00 ,2300.00 ,4071.00 ,3818.00 
E01000892,Camden 006D,991.00 ,3778.00 ,4337.00 ,1397.00 ,4347.00 ,3833.00 
E01000903,Camden 006E,595.00 ,597.00 ,4402.00 ,2424.00 ,3847.00 ,3840.00 
E01000889,Camden 007A,896.00 ,2553.00 ,2504.00 ,4274.00 ,1567.00 ,1107.00 
E01000890,Camden 007B,209.00 ,2291.00 ,1302.00 ,4523.00 ,1166.00 ,92.00 
E01000891,Camden 007C,227.00 ,1623.00 ,2550.00 ,4593.00 ,1276.00 ,87.00 
E01000901,Camden 007D,670.00 ,4276.00 ,2504.00 ,4175.00 ,2725.00 ,495.00 
E01000922,Camden 007E,2235.00 ,1359.00 ,3755.00 ,1958.00 ,3185.00 ,2300.00 
E01000927,Camden 007F,570.00 ,3122.00 ,4363.00 ,1111.00 ,4490.00 ,3793.00 
E01000881,Camden 008A,1495.00 ,1047.00 ,4380.00 ,1165.00 ,4115.00 ,4200.00 
E01000882,Camden 008B,983.00 ,1073.00 ,4674.00 ,98.00 ,4557.00 ,4713.00 
E01000883,Camden 008C,1348.00 ,228.00 ,4482.00 ,1388.00 ,3971.00 ,4306.00 
E01000897,Camden 008D,2329.00 ,1840.00 ,4619.00 ,393.00 ,4605.00 ,4781.00 
E01000898,Camden 008E,1892.00 ,3047.00 ,4641.00 ,1393.00 ,4592.00 ,3868.00 
E01000866,Camden 009A,1451.00 ,4390.00 ,3991.00 ,2562.00 ,4447.00 ,2702.00 
E01000870,Camden 009B,1082.00 ,2773.00 ,3653.00 ,2724.00 ,3802.00 ,2403.00 
E01000924,Camden 009C,536.00 ,2256.00 ,4102.00 ,1359.00 ,4538.00 ,3582.00 
E01000925,Camden 009D,302.00 ,1509.00 ,3423.00 ,4311.00 ,1866.00 ,949.00 
E01000926,Camden 009E,440.00 ,3493.00 ,4615.00 ,703.00 ,4598.00 ,2644.00 
E01000969,Camden 010A,1820.00 ,4396.00 ,4230.00 ,711.00 ,4821.00 ,4484.00 
E01000970,Camden 010B,144.00 ,633.00 ,4257.00 ,444.00 ,4672.00 ,4209.00 
E01000971,Camden 010C,255.00 ,823.00 ,4301.00 ,785.00 ,4225.00 ,4510.00 
E01000972,Camden 010D,1336.00 ,4351.00 ,4205.00 ,3081.00 ,4258.00 ,2178.00 
E01000973,Camden 010E,2889.00 ,3963.00 ,3715.00 ,2525.00 ,4600.00 ,2730.00 
E01000842,Camden 011A,652.00 ,633.00 ,4608.00 ,738.00 ,4478.00 ,4661.00 
E01000844,Camden 011B,817.00 ,3356.00 ,4526.00 ,279.00 ,4738.00 ,4645.00 
E01000848,Camden 011C,576.00 ,1745.00 ,4641.00 ,702.00 ,4562.00 ,4624.00 
E01000849,Camden 011D,228.00 ,1567.00 ,4337.00 ,333.00 ,4602.00 ,4317.00 
E01000900,Camden 012A,554.00 ,3543.00 ,3616.00 ,3314.00 ,3437.00 ,2351.00 
E01000902,Camden 012B,322.00 ,675.00 ,2504.00 ,3972.00 ,1786.00 ,859.00 
E01000904,Camden 012C,874.00 ,4544.00 ,3165.00 ,3296.00 ,3865.00 ,2011.00 
E01000905,Camden 012D,347.00 ,4416.00 ,3453.00 ,4313.00 ,1990.00 ,178.00 
E01000906,Camden 012E,1284.00 ,1223.00 ,4033.00 ,735.00 ,4579.00 ,4202.00 
E01000875,Camden 013A,890.00 ,2417.00 ,3291.00 ,1817.00 ,4277.00 ,2673.00 
E01000876,Camden 013B,881.00 ,3193.00 ,3214.00 ,3631.00 ,3460.00 ,1763.00 
E01000931,Camden 013C,1482.00 ,4062.00 ,3090.00 ,4014.00 ,3261.00 ,1182.00 
E01000932,Camden 013D,124.00 ,3746.00 ,3761.00 ,892.00 ,4708.00 ,3220.00 
E01000974,Camden 013E,841.00 ,2872.00 ,3321.00 ,2830.00 ,3725.00 ,2141.00 
E01000843,Camden 014A,312.00 ,2647.00 ,4566.00 ,2412.00 ,4447.00 ,3889.00 
E01000845,Camden 014B,913.00 ,737.00 ,4337.00 ,595.00 ,4236.00 ,4416.00 
E01000846,Camden 014C,300.00 ,979.00 ,4751.00 ,3562.00 ,2502.00 ,2803.00 
E01000847,Camden 014D,540.00 ,2718.00 ,4349.00 ,3256.00 ,3161.00 ,3001.00 
E01000864,Camden 015A,512.00 ,1272.00 ,4306.00 ,1861.00 ,3999.00 ,3401.00 
E01000865,Camden 015B,728.00 ,1005.00 ,4009.00 ,1256.00 ,3416.00 ,4140.00 
E01000867,Camden 015C,269.00 ,1943.00 ,3649.00 ,2495.00 ,2972.00 ,1465.00 
E01000868,Camden 015D,316.00 ,622.00 ,2400.00 ,4465.00 ,1397.00 ,847.00 
E01000869,Camden 015E,835.00 ,4531.00 ,3868.00 ,2038.00 ,4678.00 ,2883.00 
E01000962,Camden 016A,477.00 ,1780.00 ,4262.00 ,1030.00 ,4679.00 ,4575.00 
E01000964,Camden 016B,1074.00 ,1639.00 ,4402.00 ,1799.00 ,4194.00 ,3993.00 
E01000965,Camden 016C,702.00 ,1143.00 ,4085.00 ,236.00 ,4406.00 ,3878.00 
E01000966,Camden 016D,1153.00 ,1064.00 ,4571.00 ,19.00 ,4636.00 ,4687.00 
E01000968,Camden 016E,284.00 ,1005.00 ,4024.00 ,660.00 ,4530.00 ,4017.00 
E01000960,Camden 017A,812.00 ,3376.00 ,3815.00 ,2327.00 ,4414.00 ,3652.00 
E01000961,Camden 017B,943.00 ,1771.00 ,4239.00 ,3815.00 ,2926.00 ,2215.00 
E01000963,Camden 017C,2261.00 ,4092.00 ,4519.00 ,908.00 ,4485.00 ,4402.00 
E01000967,Camden 017D,3922.00 ,477.00 ,4687.00 ,480.00 ,3505.00 ,4630.00 
E01000857,Camden 018A,274.00 ,657.00 ,4586.00 ,232.00 ,3829.00 ,4135.00 
E01000858,Camden 018B,2641.00 ,3866.00 ,4033.00 ,3664.00 ,2905.00 ,1584.00 
E01000859,Camden 018C,499.00 ,1725.00 ,4700.00 ,750.00 ,4584.00 ,4641.00 
E01000860,Camden 018D,2461.00 ,181.00 ,4448.00 ,1090.00 ,3658.00 ,3914.00 
E01000862,Camden 018E,1883.00 ,2922.00 ,4505.00 ,215.00 ,4702.00 ,4668.00 
E01000856,Camden 019A,928.00 ,2335.00 ,3090.00 ,4308.00 ,2644.00 ,1520.00 
E01000861,Camden 019B,819.00 ,1614.00 ,3766.00 ,2729.00 ,3653.00 ,2173.00 
E01000957,Camden 019C,880.00 ,3047.00 ,3090.00 ,3322.00 ,3302.00 ,1874.00 
E01000958,Camden 019D,2958.00 ,4670.00 ,3369.00 ,3154.00 ,3823.00 ,1544.00 
E01000959,Camden 019E,182.00 ,2553.00 ,2957.00 ,3522.00 ,1446.00 ,347.00 
E01000929,Camden 020A,517.00 ,2610.00 ,3790.00 ,4362.00 ,1813.00 ,1353.00 
E01000930,Camden 020B,872.00 ,4062.00 ,3090.00 ,3511.00 ,3460.00 ,737.00 
E01000933,Camden 020C,741.00 ,2563.00 ,4170.00 ,2248.00 ,4456.00 ,3221.00 
E01000934,Camden 020D,366.00 ,2065.00 ,2711.00 ,4124.00 ,2508.00 ,998.00 
E01000935,Camden 020E,95.00 ,500.00 ,4291.00 ,3895.00 ,1536.00 ,1059.00 
E01000863,Camden 021A,1735.00 ,846.00 ,4221.00 ,2231.00 ,4005.00 ,3601.00 
E01000946,Camden 021B,4266.00 ,1097.00 ,4409.00 ,1246.00 ,3548.00 ,3375.00 
E01000947,Camden 021C,1647.00 ,4199.00 ,3828.00 ,2944.00 ,4464.00 ,2086.00 
E01000948,Camden 021D,2314.00 ,3111.00 ,4586.00 ,1147.00 ,4104.00 ,3593.00 
E01000952,Camden 022A,365.00 ,3047.00 ,3450.00 ,3804.00 ,1600.00 ,719.00 
E01000953,Camden 022B,4439.00 ,2323.00 ,3616.00 ,3403.00 ,1276.00 ,468.00 
E01000954,Camden 022C,57.00 ,2433.00 ,3629.00 ,4548.00 ,276.00 ,244.00 
E01000955,Camden 022D,108.00 ,1813.00 ,3070.00 ,3903.00 ,779.00 ,386.00 
E01000956,Camden 022E,1695.00 ,1223.00 ,3993.00 ,4019.00 ,1749.00 ,1112.00 
E01000944,Camden 023A,69.00 ,4015.00 ,3485.00 ,4275.00 ,1175.00 ,598.00 
E01000945,Camden 023B,3216.00 ,3648.00 ,3321.00 ,2409.00 ,2667.00 ,1574.00 
E01000949,Camden 023C,97.00 ,2212.00 ,3509.00 ,3175.00 ,1883.00 ,2014.00 
E01000950,Camden 023D,136.00 ,564.00 ,1245.00 ,4542.00 ,465.00 ,105.00 
E01000951,Camden 023E,29.00 ,1282.00 ,2739.00 ,4558.00 ,1276.00 ,263.00 
E01000936,Camden 024A,387.00 ,3753.00 ,2987.00 ,3827.00 ,3522.00 ,1823.00 
E01000938,Camden 024B,286.00 ,3224.00 ,3730.00 ,3938.00 ,2972.00 ,1327.00 
E01000939,Camden 024C,235.00 ,87.00 ,3730.00 ,4577.00 ,308.00 ,579.00 
E01000940,Camden 024D,30.00 ,39.00 ,3766.00 ,4365.00 ,2142.00 ,1764.00 
E01000853,Camden 025A,70.00 ,2191.00 ,4129.00 ,4540.00 ,2807.00 ,1928.00 
E01000937,Camden 025B,1055.00 ,998.00 ,2872.00 ,2663.00 ,3552.00 ,1762.00 
E01000941,Camden 025C,20.00 ,94.00 ,3214.00 ,4346.00 ,772.00 ,552.00 
E01000942,Camden 025D,180.00 ,4534.00 ,3252.00 ,938.00 ,3795.00 ,2484.00 
E01000943,Camden 025E,149.00 ,15.00 ,3616.00 ,2803.00 ,2965.00 ,2406.00 
E01000850,Camden 026A,2291.00 ,2783.00 ,4693.00 ,291.00 ,4585.00 ,3864.00 
E01000851,Camden 026B,1203.00 ,4743.00 ,4146.00 ,725.00 ,4462.00 ,3219.00 
E01000852,Camden 026C,1040.00 ,1737.00 ,3214.00 ,876.00 ,3367.00 ,2604.00 
E01000854,Camden 026D,2195.00 ,3715.00 ,4431.00 ,2256.00 ,3616.00 ,2027.00 
E01000915,Camden 027A,191.00 ,1183.00 ,4188.00 ,3854.00 ,2381.00 ,1854.00 
E01000916,Camden 027B,1483.00 ,3523.00 ,4331.00 ,1787.00 ,4284.00 ,2799.00 
E01000917,Camden 027C,204.00 ,3977.00 ,3090.00 ,4620.00 ,2652.00 ,981.00 
E01000920,Camden 027D,1235.00 ,4174.00 ,4511.00 ,1818.00 ,4544.00 ,3286.00 
E01000855,Camden 028A,3628.00 ,3304.00 ,1369.00 ,1077.00 ,4776.00 ,3000.00 
E01000914,Camden 028B,4169.00 ,3289.00 ,4142.00 ,1411.00 ,4595.00 ,3328.00 
E01000918,Camden 028C,1844.00 ,4501.00 ,4526.00 ,2787.00 ,4466.00 ,2904.00 
E01000919,Camden 028D,1593.00 ,4360.00 ,4509.00 ,1224.00 ,4056.00 ,3065.00 
E01000001,City of London 001A,1140.00 ,746.00 ,4290.00 ,498.00 ,4736.00 ,4527.00 
E01000002,City of London 001B,2788.00 ,580.00 ,4337.00 ,7.00 ,4715.00 ,4494.00 
E01000003,City of London 001C,75.00 ,277.00 ,3423.00 ,1239.00 ,3845.00 ,2692.00 
E01000005,City of London 001E,2212.00 ,1.00 ,2872.00 ,3265.00 ,786.00 ,512.00 
E01032739,City of London 001F,4754.00 ,11.00 ,4062.00 ,140.00 ,3912.00 ,4341.00 
E01032740,City of London 001G,4467.00 ,25.00 ,3945.00 ,355.00 ,4343.00 ,4313.00 
E01001808,Hackney 001A,1093.00 ,3746.00 ,2963.00 ,3013.00 ,434.00 ,2804.00 
E01001809,Hackney 001B,822.00 ,4276.00 ,4069.00 ,3662.00 ,1062.00 ,2426.00 
E01001814,Hackney 001C,819.00 ,2465.00 ,1853.00 ,3295.00 ,1457.00 ,2293.00 
E01001823,Hackney 001D,1546.00 ,3314.00 ,1101.00 ,4618.00 ,526.00 ,2211.00 
E01001825,Hackney 001E,674.00 ,1849.00 ,995.00 ,3548.00 ,21.00 ,3250.00 
E01001714,Hackney 002A,1533.00 ,908.00 ,2583.00 ,3894.00 ,1657.00 ,777.00 
E01001811,Hackney 002D,329.00 ,989.00 ,3090.00 ,4560.00 ,336.00 ,89.00 
E01001813,Hackney 002E,517.00 ,114.00 ,225.00 ,4448.00 ,566.00 ,68.00 
E01033701,Hackney 002F,3028.00 ,3809.00 ,728.00 ,4754.00 ,1768.00 ,97.00 
E01001799,Hackney 003A,670.00 ,1682.00 ,1369.00 ,3031.00 ,1340.00 ,3394.00 
E01001802,Hackney 003B,642.00 ,158.00 ,1416.00 ,3445.00 ,846.00 ,1783.00 
E01001804,Hackney 003C,771.00 ,1191.00 ,3766.00 ,2331.00 ,1141.00 ,3027.00 
E01001807,Hackney 003D,893.00 ,3568.00 ,3369.00 ,4277.00 ,2236.00 ,2140.00 
E01001812,Hackney 003E,3013.00 ,3179.00 ,2248.00 ,4035.00 ,1693.00 ,2075.00 
E01001725,Hackney 004A,466.00 ,4057.00 ,3889.00 ,4097.00 ,1322.00 ,2819.00 
E01001726,Hackney 004B,38.00 ,313.00 ,435.00 ,4622.00 ,355.00 ,738.00 
E01001800,Hackney 004C,329.00 ,1840.00 ,1575.00 ,4108.00 ,604.00 ,989.00 
E01001824,Hackney 004D,2618.00 ,1107.00 ,1777.00 ,4664.00 ,234.00 ,1061.00 
E01001826,Hackney 004E,805.00 ,3142.00 ,3274.00 ,3976.00 ,456.00 ,1382.00 
E01001723,Hackney 006A,916.00 ,4165.00 ,3300.00 ,2650.00 ,3650.00 ,3343.00 
E01001724,Hackney 006B,874.00 ,4643.00 ,2307.00 ,2005.00 ,4658.00 ,2688.00 
E01001727,Hackney 006C,685.00 ,4083.00 ,3300.00 ,1983.00 ,2460.00 ,3436.00 
E01001768,Hackney 006D,592.00 ,3676.00 ,3485.00 ,2715.00 ,4175.00 ,3235.00 
E01001769,Hackney 006E,1021.00 ,1800.00 ,2571.00 ,3771.00 ,3522.00 ,3100.00 
E01001715,Hackney 007A,213.00 ,214.00 ,3214.00 ,1901.00 ,4175.00 ,3638.00 
E01001716,Hackney 007B,255.00 ,204.00 ,1728.00 ,2401.00 ,2972.00 ,1728.00 
E01001717,Hackney 007C,513.00 ,86.00 ,3669.00 ,2681.00 ,2245.00 ,3283.00 
E01001718,Hackney 007D,627.00 ,3472.00 ,3165.00 ,406.00 ,4778.00 ,4165.00 
E01001719,Hackney 007E,105.00 ,46.00 ,1499.00 ,2771.00 ,1550.00 ,1440.00 
E01001720,Hackney 007F,574.00 ,3111.00 ,3321.00 ,730.00 ,4713.00 ,4117.00 
E01001742,Hackney 008A,1049.00 ,3587.00 ,3481.00 ,2144.00 ,3823.00 ,2656.00 
E01001801,Hackney 008B,1495.00 ,2504.00 ,1072.00 ,3272.00 ,1805.00 ,2313.00 
E01001803,Hackney 008C,1774.00 ,3877.00 ,3602.00 ,1684.00 ,4149.00 ,3853.00 
E01001806,Hackney 008D,3670.00 ,1350.00 ,2006.00 ,3182.00 ,3505.00 ,2866.00 
E01001741,Hackney 009A,362.00 ,908.00 ,4422.00 ,495.00 ,3957.00 ,4312.00 
E01001805,Hackney 009B,1486.00 ,72.00 ,2461.00 ,2465.00 ,3065.00 ,3509.00 
E01001829,Hackney 009C,792.00 ,3510.00 ,4170.00 ,1546.00 ,4512.00 ,4446.00 
E01001831,Hackney 009D,769.00 ,2637.00 ,3514.00 ,1596.00 ,4071.00 ,3165.00 
E01001832,Hackney 009E,596.00 ,2065.00 ,4205.00 ,2940.00 ,3865.00 ,3115.00 
E01001764,Hackney 010A,650.00 ,2734.00 ,1919.00 ,3780.00 ,3247.00 ,1848.00 
E01001765,Hackney 010B,1061.00 ,2966.00 ,1339.00 ,4822.00 ,988.00 ,201.00 
E01001767,Hackney 010D,667.00 ,1896.00 ,3214.00 ,3917.00 ,3227.00 ,2391.00 
E01001770,Hackney 010E,1134.00 ,3122.00 ,1959.00 ,4610.00 ,2480.00 ,762.00 
E01033703,Hackney 010F,121.00 ,481.00 ,2777.00 ,4022.00 ,2667.00 ,1048.00 
E01033713,Hackney 010G,3130.00 ,277.00 ,1853.00 ,4266.00 ,2870.00 ,1689.00 
E01001792,Hackney 011A,1984.00 ,3417.00 ,3828.00 ,3674.00 ,3268.00 ,2258.00 
E01001793,Hackney 011B,1710.00 ,2705.00 ,3967.00 ,3960.00 ,3622.00 ,2529.00 
E01001794,Hackney 011C,1099.00 ,4057.00 ,3214.00 ,3391.00 ,3709.00 ,3261.00 
E01001795,Hackney 011D,584.00 ,737.00 ,643.00 ,4459.00 ,3378.00 ,2838.00 
E01001796,Hackney 011E,430.00 ,2354.00 ,3354.00 ,3946.00 ,3392.00 ,1747.00 
E01001736,Hackney 012A,396.00 ,2433.00 ,3524.00 ,2338.00 ,4051.00 ,3751.00 
E01001737,Hackney 012B,565.00 ,3772.00 ,3530.00 ,2142.00 ,4537.00 ,4128.00 
E01001738,Hackney 012C,415.00 ,3256.00 ,2427.00 ,2137.00 ,4219.00 ,3614.00 
E01001739,Hackney 012D,986.00 ,4501.00 ,3423.00 ,2049.00 ,4711.00 ,3988.00 
E01001786,Hackney 013A,4689.00 ,3676.00 ,308.00 ,4712.00 ,1012.00 ,324.00 
E01001787,Hackney 013B,2699.00 ,1753.00 ,1651.00 ,4804.00 ,308.00 ,147.00 
E01001788,Hackney 013C,835.00 ,1682.00 ,272.00 ,4794.00 ,864.00 ,277.00 
E01001790,Hackney 013D,51.00 ,271.00 ,98.00 ,4791.00 ,443.00 ,203.00 
E01001740,Hackney 014A,353.00 ,1541.00 ,1148.00 ,4494.00 ,1842.00 ,596.00 
E01001747,Hackney 014B,1387.00 ,4571.00 ,2642.00 ,2998.00 ,4554.00 ,2592.00 
E01001830,Hackney 014C,615.00 ,4030.00 ,3611.00 ,3928.00 ,3582.00 ,1366.00 
E01001833,Hackney 014D,869.00 ,4575.00 ,3410.00 ,3485.00 ,4456.00 ,2284.00 
E01001834,Hackney 014E,474.00 ,4449.00 ,2835.00 ,2702.00 ,4672.00 ,3008.00 
E01001835,Hackney 014F,182.00 ,113.00 ,3207.00 ,2017.00 ,3362.00 ,3795.00 
E01001733,Hackney 015A,1446.00 ,3658.00 ,3889.00 ,3367.00 ,3725.00 ,2471.00 
E01001785,Hackney 015B,406.00 ,876.00 ,3730.00 ,4074.00 ,2570.00 ,1723.00 
E01001789,Hackney 015C,499.00 ,3135.00 ,3530.00 ,3639.00 ,3354.00 ,2623.00 
E01001791,Hackney 015D,629.00 ,1242.00 ,3714.00 ,4672.00 ,1430.00 ,1350.00 
E01001745,Hackney 016A,798.00 ,4658.00 ,1721.00 ,4180.00 ,3768.00 ,907.00 
E01001746,Hackney 016B,33.00 ,2433.00 ,2661.00 ,4730.00 ,1090.00 ,556.00 
E01001757,Hackney 016C,34.00 ,2966.00 ,168.00 ,4559.00 ,1622.00 ,476.00 
E01001758,Hackney 016D,1046.00 ,4496.00 ,1245.00 ,4299.00 ,3344.00 ,883.00 
E01001759,Hackney 016E,612.00 ,3556.00 ,2504.00 ,4203.00 ,3639.00 ,1795.00 
E01001761,Hackney 016F,696.00 ,3409.00 ,2585.00 ,3792.00 ,3392.00 ,1294.00 
E01001731,Hackney 017A,1950.00 ,4697.00 ,678.00 ,4306.00 ,4198.00 ,1172.00 
E01001734,Hackney 017B,1213.00 ,3648.00 ,2711.00 ,4143.00 ,3927.00 ,1773.00 
E01001760,Hackney 017C,1429.00 ,3234.00 ,2048.00 ,4212.00 ,3285.00 ,1622.00 
E01001762,Hackney 017D,1387.00 ,3314.00 ,3165.00 ,3035.00 ,4313.00 ,2654.00 
E01001846,Hackney 018A,4356.00 ,82.00 ,2580.00 ,4562.00 ,597.00 ,832.00 
E01001847,Hackney 018B,658.00 ,38.00 ,1311.00 ,4519.00 ,649.00 ,685.00 
E01001848,Hackney 018C,1570.00 ,2417.00 ,2936.00 ,3888.00 ,2644.00 ,1542.00 
E01001849,Hackney 018D,4272.00 ,4731.00 ,1316.00 ,4067.00 ,4082.00 ,1389.00 
E01001729,Hackney 019A,1103.00 ,4377.00 ,106.00 ,4733.00 ,2391.00 ,317.00 
E01001730,Hackney 019B,1158.00 ,4087.00 ,#VALUE!,4792.00 ,1226.00 ,187.00 
E01001732,Hackney 019C,114.00 ,2948.00 ,114.00 ,4818.00 ,1293.00 ,225.00 
E01001735,Hackney 019D,1201.00 ,2201.00 ,2504.00 ,3179.00 ,3016.00 ,1962.00 
E01001838,Hackney 019E,143.00 ,3179.00 ,323.00 ,4833.00 ,824.00 ,112.00 
E01001850,Hackney 019F,160.00 ,3587.00 ,1034.00 ,4816.00 ,680.00 ,133.00 
E01001748,Hackney 020A,2014.00 ,4703.00 ,2335.00 ,3159.00 ,4763.00 ,2629.00 
E01001749,Hackney 020B,682.00 ,2966.00 ,3137.00 ,1991.00 ,4521.00 ,3762.00 
E01001763,Hackney 020C,724.00 ,2314.00 ,3967.00 ,4421.00 ,3540.00 ,2607.00 
E01001816,Hackney 020D,1251.00 ,2127.00 ,4563.00 ,3565.00 ,3384.00 ,3075.00 
E01001819,Hackney 020E,1245.00 ,1639.00 ,4180.00 ,2961.00 ,3618.00 ,3637.00 
E01001744,Hackney 021B,1228.00 ,3935.00 ,3385.00 ,2079.00 ,3670.00 ,2281.00 
E01001750,Hackney 021C,1458.00 ,3746.00 ,3090.00 ,1996.00 ,4019.00 ,2782.00 
E01001751,Hackney 021D,1613.00 ,1359.00 ,4448.00 ,537.00 ,4631.00 ,4642.00 
E01001756,Hackney 021E,1748.00 ,4589.00 ,2855.00 ,2177.00 ,4802.00 ,3727.00 
E01033698,Hackney 021F,83.00 ,124.00 ,2048.00 ,3649.00 ,1409.00 ,687.00 
E01033699,Hackney 021G,459.00 ,84.00 ,3752.00 ,3777.00 ,3136.00 ,2577.00 
E01033700,Hackney 021H,755.00 ,1541.00 ,3040.00 ,3203.00 ,4271.00 ,3085.00 
E01033707,Hackney 021I,622.00 ,176.00 ,2806.00 ,2612.00 ,3022.00 ,1652.00 
E01001836,Hackney 022A,1174.00 ,3883.00 ,3577.00 ,3555.00 ,3371.00 ,2721.00 
E01001840,Hackney 022B,724.00 ,2625.00 ,2504.00 ,4149.00 ,2034.00 ,895.00 
E01001841,Hackney 022C,1272.00 ,484.00 ,4160.00 ,3634.00 ,2517.00 ,2781.00 
E01001844,Hackney 022D,1640.00 ,4348.00 ,4023.00 ,2728.00 ,4056.00 ,3323.00 
E01001845,Hackney 022E,765.00 ,1435.00 ,2048.00 ,4639.00 ,1129.00 ,630.00 
E01001837,Hackney 023B,788.00 ,892.00 ,2956.00 ,1600.00 ,3983.00 ,4068.00 
E01001839,Hackney 023C,705.00 ,4636.00 ,3165.00 ,3133.00 ,4653.00 ,2156.00 
E01001842,Hackney 023D,112.00 ,1753.00 ,3162.00 ,4148.00 ,2335.00 ,1343.00 
E01001843,Hackney 023E,191.00 ,105.00 ,3616.00 ,3933.00 ,2106.00 ,3198.00 
E01033704,Hackney 023F,2655.00 ,2191.00 ,3212.00 ,1170.00 ,4511.00 ,3538.00 
E01033712,Hackney 023G,1751.00 ,1645.00 ,2933.00 ,3645.00 ,3768.00 ,1845.00 
E01001772,Hackney 024A,122.00 ,12.00 ,1245.00 ,4715.00 ,395.00 ,258.00 
E01001774,Hackney 024B,2054.00 ,4508.00 ,2354.00 ,3171.00 ,4251.00 ,1755.00 
E01001775,Hackney 024C,1087.00 ,3386.00 ,2585.00 ,4491.00 ,2203.00 ,378.00 
E01001815,Hackney 024D,741.00 ,3376.00 ,3385.00 ,4585.00 ,2674.00 ,811.00 
E01001820,Hackney 024E,329.00 ,733.00 ,2048.00 ,4418.00 ,1786.00 ,1073.00 
E01001821,Hackney 024F,141.00 ,711.00 ,2504.00 ,4460.00 ,1499.00 ,429.00 
E01001752,Hackney 025A,1107.00 ,4704.00 ,4150.00 ,2189.00 ,4795.00 ,3204.00 
E01001753,Hackney 025B,199.00 ,2166.00 ,3021.00 ,4799.00 ,1648.00 ,488.00 
E01001754,Hackney 025C,991.00 ,4739.00 ,3037.00 ,3544.00 ,4456.00 ,1675.00 
E01001755,Hackney 025D,594.00 ,3477.00 ,2048.00 ,4202.00 ,2265.00 ,905.00 
E01001773,Hackney 025E,988.00 ,4437.00 ,2585.00 ,3950.00 ,3751.00 ,1241.00 
E01001776,Hackney 025F,588.00 ,597.00 ,3252.00 ,4521.00 ,1668.00 ,333.00 
E01001779,Hackney 026A,1304.00 ,4758.00 ,3214.00 ,3344.00 ,4449.00 ,1602.00 
E01001781,Hackney 026B,1562.00 ,2528.00 ,2048.00 ,4801.00 ,1911.00 ,166.00 
E01001782,Hackney 026C,1260.00 ,4697.00 ,3967.00 ,2790.00 ,4706.00 ,3241.00 
