Codes,Names, Census_Population_All Ages,Population_Density,house_price,Unemployment_Rate,qualification4,Mean_Household_Income
E01000082,Barking and Dagenham 007E,1683.00 ,16.07 ,155000.00 ,10.54 ,187.00 ,33237.05 
E01000083,Barking and Dagenham 007F,1700.00 ,17.99 ,169000.00 ,10.63 ,201.00 ,32007.94 
E01000084,Barking and Dagenham 013D,1355.00 ,15.00 ,151000.00 ,9.84 ,172.00 ,32285.48 
E01000085,Barking and Dagenham 013E,1718.00 ,14.53 ,147750.00 ,13.96 ,198.00 ,30099.83 
E01000086,Barking and Dagenham 013F,1431.00 ,14.01 ,160000.00 ,10.36 ,199.00 ,34128.16 
E01000087,Barking and Dagenham 020B,1341.00 ,37.25 ,160000.00 ,9.91 ,174.00 ,32352.11 
E01000088,Barking and Dagenham 020C,1828.00 ,22.64 ,159000.00 ,8.87 ,300.00 ,37771.29 
E01000089,Barking and Dagenham 020D,1666.00 ,14.55 ,150000.00 ,9.01 ,256.00 ,34417.01 
E01000090,Barking and Dagenham 020E,1584.00 ,195.51 ,150000.00 ,8.98 ,260.00 ,36848.75 
E01000091,Barking and Dagenham 022A,1714.00 ,24.62 ,171250.00 ,13.32 ,206.00 ,27764.70 
E01000092,Barking and Dagenham 019E,2674.00 ,264.48 ,175000.00 ,13.55 ,521.00 ,37556.27 
E01000093,Barking and Dagenham 022B,1547.00 ,29.38 ,178500.00 ,13.77 ,212.00 ,28561.26 
E01000094,Barking and Dagenham 022C,1326.00 ,60.28 ,160000.00 ,9.90 ,346.00 ,39146.31 
E01000095,Barking and Dagenham 018E,1572.00 ,229.47 ,159750.00 ,10.12 ,297.00 ,41482.15 
E01000096,Barking and Dagenham 022D,1895.00 ,60.24 ,165000.00 ,15.42 ,245.00 ,27221.44 
E01000097,Barking and Dagenham 023C,1683.00 ,17.92 ,196500.00 ,9.21 ,229.00 ,33007.91 
E01000098,Barking and Dagenham 023D,1746.00 ,17.54 ,207000.00 ,13.57 ,221.00 ,32142.95 
E01000099,Barking and Dagenham 023E,1732.00 ,31.00 ,205000.00 ,11.00 ,233.00 ,35177.54 
E01000100,Barking and Dagenham 004B,1653.00 ,21.15 ,160500.00 ,12.72 ,196.00 ,32847.65 
E01000101,Barking and Dagenham 004C,1513.00 ,16.39 ,159500.00 ,8.67 ,210.00 ,31902.33 
E01000102,Barking and Dagenham 007G,1540.00 ,25.28 ,160000.00 ,11.28 ,215.00 ,33670.32 
E01000103,Barking and Dagenham 014A,1685.00 ,70.13 ,167500.00 ,12.84 ,256.00 ,30851.68 
E01000104,Barking and Dagenham 014B,1781.00 ,22.02 ,134925.00 ,15.71 ,186.00 ,29854.35 
E01000105,Barking and Dagenham 014C,2129.00 ,22.09 ,154500.00 ,15.34 ,276.00 ,29802.71 
E01000106,Barking and Dagenham 014D,1968.00 ,21.94 ,105000.00 ,11.70 ,289.00 ,29731.55 
E01000107,Barking and Dagenham 010C,1666.00 ,53.60 ,175000.00 ,9.29 ,198.00 ,38576.82 
E01000108,Barking and Dagenham 010D,1558.00 ,24.21 ,190000.00 ,9.38 ,241.00 ,37288.98 
E01000109,Barking and Dagenham 004D,1686.00 ,37.53 ,167500.00 ,9.98 ,241.00 ,39616.86 
E01000110,Barking and Dagenham 002C,1416.00 ,19.45 ,212000.00 ,7.34 ,294.00 ,52663.79 
E01000111,Barking and Dagenham 002D,1833.00 ,29.66 ,174000.00 ,10.28 ,280.00 ,34684.76 
E01000112,Barking and Dagenham 002E,1871.00 ,27.75 ,185000.00 ,9.03 ,362.00 ,40826.75 
E01000113,Barking and Dagenham 002F,1679.00 ,15.39 ,204500.00 ,9.63 ,333.00 ,42390.85 
E01000114,Barking and Dagenham 004E,2090.00 ,25.62 ,180000.00 ,6.55 ,295.00 ,38957.45 
E01000115,Barnet 009A,1484.00 ,27.40 ,457000.00 ,4.31 ,447.00 ,59116.10 
E01000116,Barnet 009B,1718.00 ,24.52 ,340000.00 ,4.05 ,440.00 ,44695.57 
E01000117,Barnet 010A,1819.00 ,33.12 ,319000.00 ,7.12 ,500.00 ,42225.14 
E01000118,Barnet 010B,1936.00 ,28.55 ,355000.00 ,7.55 ,510.00 ,42960.02 
E01000119,Barnet 009C,1680.00 ,39.74 ,434500.00 ,5.81 ,540.00 ,51811.37 
E01000120,Barnet 009D,1504.00 ,24.51 ,505000.00 ,4.34 ,457.00 ,54528.05 
E01000121,Barnet 010C,1497.00 ,37.61 ,302000.00 ,11.84 ,244.00 ,31341.87 
E01000122,Barnet 009E,1471.00 ,23.61 ,365500.00 ,4.70 ,469.00 ,50236.80 
E01000123,Barnet 010D,1664.00 ,52.73 ,277500.00 ,7.46 ,457.00 ,40482.01 
E01000124,Barnet 010E,1621.00 ,25.58 ,265000.00 ,8.44 ,410.00 ,33547.57 
E01000125,Barnet 024A,2779.00 ,30.77 ,221000.00 ,9.17 ,543.00 ,29106.06 
E01000126,Barnet 026A,2162.00 ,16.14 ,219000.00 ,11.64 ,439.00 ,28229.45 
E01000127,Barnet 024B,1505.00 ,20.06 ,232500.00 ,9.77 ,283.00 ,28760.26 
E01000128,Barnet 024C,1869.00 ,24.68 ,245000.00 ,7.80 ,315.00 ,31055.43 
E01000129,Barnet 024D,1782.00 ,17.18 ,228500.00 ,9.01 ,267.00 ,27616.64 
E01000130,Barnet 021A,1603.00 ,17.12 ,232000.00 ,9.88 ,315.00 ,32089.26 
E01000131,Barnet 024E,1806.00 ,33.61 ,248749.50 ,5.87 ,424.00 ,35659.60 
E01000132,Barnet 021B,1478.00 ,15.35 ,230000.00 ,8.91 ,217.00 ,30654.83 
E01000133,Barnet 021C,1601.00 ,15.56 ,236250.00 ,10.04 ,254.00 ,29502.02 
E01000134,Barnet 024F,1632.00 ,15.94 ,230500.00 ,10.86 ,339.00 ,31374.47 
E01000135,Barnet 038A,1564.00 ,33.07 ,440000.00 ,6.07 ,644.00 ,58099.86 
E01000136,Barnet 038B,1532.00 ,52.05 ,1265000.00 ,2.75 ,699.00 ,89526.55 
E01000137,Barnet 041A,1729.00 ,12.28 ,335000.00 ,8.47 ,436.00 ,32416.60 
E01000138,Barnet 040A,1449.00 ,26.15 ,430000.00 ,6.59 ,393.00 ,38320.83 
E01000139,Barnet 041B,1429.00 ,35.10 ,328250.00 ,7.52 ,553.00 ,50785.12 
E01000140,Barnet 041C,1631.00 ,14.61 ,413500.00 ,7.58 ,664.00 ,40012.62 
E01000141,Barnet 039A,2104.00 ,37.05 ,235000.00 ,8.14 ,631.00 ,32813.90 
E01000142,Barnet 040B,2381.00 ,19.94 ,213750.00 ,7.27 ,769.00 ,37952.12 
E01000143,Barnet 041D,1459.00 ,17.45 ,243750.00 ,9.03 ,342.00 ,29843.03 
E01000144,Barnet 038C,1538.00 ,19.81 ,835000.00 ,5.49 ,713.00 ,54338.69 
E01000145,Barnet 037A,1517.00 ,20.71 ,580000.00 ,6.93 ,485.00 ,53002.15 
E01000146,Barnet 038D,1716.00 ,20.66 ,450000.00 ,7.49 ,746.00 ,43571.29 
E01000147,Barnet 030A,1734.00 ,20.23 ,322000.00 ,5.93 ,441.00 ,38452.84 
E01000148,Barnet 030B,1873.00 ,23.41 ,213250.00 ,8.98 ,451.00 ,29531.74 
E01000150,Barnet 036A,2060.00 ,46.47 ,224000.00 ,7.05 ,547.00 ,36188.30 
E01000151,Barnet 026B,1711.00 ,14.22 ,200000.00 ,13.76 ,294.00 ,25214.86 
E01000152,Barnet 026C,1729.00 ,18.49 ,174500.00 ,12.15 ,260.00 ,26720.17 
E01000153,Barnet 026D,1541.00 ,16.50 ,228750.00 ,10.46 ,263.00 ,27696.79 
E01000154,Barnet 026E,1360.00 ,13.49 ,215000.00 ,9.25 ,265.00 ,26170.23 
E01000155,Barnet 030D,1880.00 ,29.05 ,209000.00 ,6.64 ,562.00 ,33295.05 
E01000156,Barnet 022A,1875.00 ,18.00 ,307500.00 ,4.97 ,765.00 ,48360.88 
E01000157,Barnet 022B,1541.00 ,12.59 ,207000.00 ,7.06 ,559.00 ,39311.30 
E01000158,Barnet 015A,1470.00 ,27.04 ,258250.00 ,7.13 ,452.00 ,40171.23 
E01000159,Barnet 015B,1777.00 ,49.34 ,495000.00 ,7.86 ,533.00 ,42276.72 
E01000160,Barnet 015C,2061.00 ,30.25 ,310000.00 ,4.39 ,858.00 ,53257.31 
E01000161,Barnet 015D,1821.00 ,24.25 ,250000.00 ,4.90 ,616.00 ,40177.30 
E01000162,Barnet 015E,1599.00 ,18.23 ,378000.00 ,7.76 ,409.00 ,39405.95 
E01000163,Barnet 022C,1558.00 ,19.14 ,171000.00 ,11.51 ,388.00 ,32192.18 
E01000164,Barnet 022D,1686.00 ,54.70 ,261500.00 ,8.55 ,438.00 ,34318.43 
E01000165,Barnet 022E,1862.00 ,18.52 ,369000.00 ,6.12 ,608.00 ,44154.94 
E01000166,Barnet 003A,1582.00 ,36.97 ,326000.00 ,6.22 ,462.00 ,41934.37 
E01000167,Barnet 002A,1307.00 ,60.19 ,225000.00 ,7.77 ,265.00 ,34465.75 
E01000168,Barnet 003B,1564.00 ,31.39 ,407500.00 ,4.66 ,499.00 ,60097.01 
E01000169,Barnet 003C,1490.00 ,23.85 ,275000.00 ,4.68 ,499.00 ,45002.06 
E01000170,Barnet 006A,1636.00 ,29.65 ,249000.00 ,6.52 ,406.00 ,38395.83 
E01000171,Barnet 006B,1849.00 ,33.30 ,200000.00 ,7.69 ,564.00 ,36279.51 
E01000172,Barnet 003D,1677.00 ,54.38 ,352497.50 ,5.15 ,543.00 ,50200.88 
E01000173,Barnet 006C,1719.00 ,36.57 ,372500.00 ,4.69 ,486.00 ,48296.13 
E01000174,Barnet 006D,1728.00 ,18.85 ,270000.00 ,9.12 ,431.00 ,37349.38 
E01000175,Barnet 006E,1585.00 ,50.08 ,348500.00 ,6.73 ,512.00 ,51978.08 
E01000176,Barnet 027A,1613.00 ,21.97 ,321000.00 ,7.81 ,403.00 ,33281.32 
E01000177,Barnet 029A,1628.00 ,16.87 ,340000.00 ,3.48 ,797.00 ,54454.51 
E01000178,Barnet 027B,1791.00 ,41.75 ,509000.00 ,3.49 ,716.00 ,52135.18 
E01000179,Barnet 029B,1614.00 ,14.38 ,315000.00 ,3.99 ,804.00 ,52005.46 
E01000180,Barnet 029C,1607.00 ,17.07 ,332500.00 ,4.22 ,624.00 ,41027.08 
E01000181,Barnet 029D,1711.00 ,14.31 ,685000.00 ,4.97 ,845.00 ,61776.17 
E01000182,Barnet 029E,1691.00 ,21.93 ,514000.00 ,4.00 ,877.00 ,58841.33 
E01000183,Barnet 033A,1473.00 ,23.12 ,337500.00 ,2.85 ,691.00 ,60789.45 
E01000184,Barnet 027C,1414.00 ,68.60 ,225000.00 ,9.37 ,305.00 ,31959.05 
E01000185,Barnet 029F,1447.00 ,12.36 ,202000.00 ,12.24 ,373.00 ,28701.79 
E01000186,Barnet 014A,1612.00 ,25.49 ,486250.00 ,3.90 ,487.00 ,62119.95 
E01000187,Barnet 014B,1657.00 ,21.57 ,395000.00 ,6.45 ,416.00 ,42228.97 
E01000188,Barnet 014C,1554.00 ,318.92 ,592500.00 ,2.97 ,510.00 ,64562.31 
E01000189,Barnet 014D,1814.00 ,16.21 ,271500.00 ,14.55 ,328.00 ,26703.86 
E01000190,Barnet 014E,1579.00 ,24.82 ,465000.00 ,4.64 ,484.00 ,55604.89 
E01000191,Barnet 014F,1525.00 ,25.43 ,499950.00 ,4.42 ,520.00 ,60040.48 
E01000192,Barnet 018A,1850.00 ,28.40 ,307500.00 ,5.33 ,564.00 ,43858.18 
E01000193,Barnet 018B,1709.00 ,30.40 ,420000.00 ,4.98 ,533.00 ,46787.14 
E01000194,Barnet 018C,1640.00 ,33.24 ,319500.00 ,6.61 ,455.00 ,37241.82 
E01000195,Barnet 013A,1788.00 ,31.52 ,175000.00 ,10.48 ,324.00 ,30486.42 
E01000196,Barnet 028A,1802.00 ,24.58 ,323750.00 ,5.89 ,765.00 ,42043.92 
E01000197,Barnet 023A,1830.00 ,27.70 ,400000.00 ,6.26 ,725.00 ,46650.37 
E01000198,Barnet 025A,1893.00 ,32.93 ,482500.00 ,3.18 ,691.00 ,54617.81 
E01000199,Barnet 025B,1617.00 ,33.81 ,472500.00 ,3.22 ,655.00 ,63631.02 
E01000200,Barnet 028B,1845.00 ,27.80 ,318000.00 ,5.23 ,745.00 ,55222.67 
E01000201,Barnet 028C,1531.00 ,39.36 ,1170000.00 ,4.19 ,584.00 ,74514.46 
E01000202,Barnet 028D,1751.00 ,22.60 ,352500.00 ,3.88 ,746.00 ,63147.87 
E01000203,Barnet 028E,1718.00 ,30.53 ,377500.00 ,7.37 ,537.00 ,40473.65 
E01000204,Barnet 025C,1728.00 ,31.65 ,340000.00 ,5.97 ,761.00 ,57149.43 
E01000205,Barnet 035A,1522.00 ,38.04 ,575000.00 ,3.67 ,656.00 ,70782.86 
E01000206,Barnet 033B,1576.00 ,132.12 ,3175000.00 ,4.58 ,636.00 ,106845.60 
E01000207,Barnet 033C,1583.00 ,34.68 ,1205000.00 ,3.89 ,693.00 ,79329.33 
E01000208,Barnet 033D,1594.00 ,40.69 ,570000.00 ,3.68 ,749.00 ,71119.54 
E01000209,Barnet 035B,1563.00 ,40.13 ,665000.00 ,3.13 ,798.00 ,70645.93 
E01000210,Barnet 033E,1548.00 ,49.63 ,352500.00 ,3.20 ,716.00 ,69664.87 
E01000211,Barnet 035C,2014.00 ,27.42 ,342500.00 ,6.35 ,774.00 ,39980.20 
E01000212,Barnet 035D,1428.00 ,34.78 ,600000.00 ,2.30 ,714.00 ,73891.97 
E01000213,Barnet 033F,1438.00 ,42.47 ,2193750.00 ,3.33 ,601.00 ,98526.70 
E01000214,Barnet 038E,1663.00 ,33.13 ,407000.00 ,4.03 ,933.00 ,65945.57 
E01000215,Barnet 037B,2033.00 ,21.88 ,390000.00 ,4.39 ,587.00 ,51050.84 
E01000216,Barnet 035E,1968.00 ,19.50 ,648000.00 ,5.84 ,711.00 ,57943.93 
E01000217,Barnet 035F,1725.00 ,21.46 ,650400.00 ,4.65 ,490.00 ,58918.58 
E01000218,Barnet 037C,1818.00 ,15.17 ,543000.00 ,5.02 ,562.00 ,51465.77 
E01000219,Barnet 037D,1905.00 ,19.12 ,601000.00 ,8.11 ,477.00 ,42215.35 
E01000220,Barnet 037E,1871.00 ,15.33 ,425000.00 ,5.04 ,559.00 ,41962.15 
E01000221,Barnet 039B,1294.00 ,42.17 ,161000.00 ,11.76 ,247.00 ,27933.56 
E01000222,Barnet 040C,1582.00 ,41.60 ,362000.00 ,9.59 ,370.00 ,33218.12 
E01000223,Barnet 039C,1287.00 ,54.45 ,300000.00 ,8.61 ,268.00 ,31156.96 
E01000224,Barnet 040D,1559.00 ,16.05 ,410250.00 ,8.72 ,426.00 ,37461.69 
E01000225,Barnet 037F,1776.00 ,31.06 ,465000.00 ,4.30 ,434.00 ,59993.50 
E01000226,Barnet 018D,1758.00 ,17.30 ,218000.00 ,8.71 ,312.00 ,28538.44 
E01000227,Barnet 018E,1854.00 ,25.58 ,350000.00 ,5.21 ,513.00 ,48611.77 
E01000228,Barnet 007A,1481.00 ,288.64 ,493000.00 ,3.49 ,449.00 ,54473.18 
E01000229,Barnet 013B,1667.00 ,28.00 ,312500.00 ,9.62 ,364.00 ,36445.18 
E01000230,Barnet 013C,1785.00 ,27.14 ,322500.00 ,3.78 ,499.00 ,48206.65 
E01000231,Barnet 013D,1849.00 ,36.50 ,205000.00 ,6.22 ,520.00 ,40103.65 
E01000232,Barnet 013E,1837.00 ,29.84 ,421750.00 ,5.47 ,594.00 ,47558.07 
E01000233,Barnet 013F,1817.00 ,26.47 ,331000.00 ,3.89 ,587.00 ,48879.90 
E01000234,Barnet 021D,1701.00 ,27.63 ,415000.00 ,5.37 ,636.00 ,50174.39 
E01000235,Barnet 021E,1688.00 ,35.08 ,286000.00 ,7.98 ,415.00 ,34790.80 
E01000236,Barnet 034A,1860.00 ,22.94 ,310000.00 ,5.98 ,547.00 ,49965.79 
E01000237,Barnet 032A,2038.00 ,32.45 ,340000.00 ,3.91 ,763.00 ,48120.36 
E01000238,Barnet 034B,1963.00 ,21.13 ,375000.00 ,7.76 ,572.00 ,42310.41 
E01000239,Barnet 031A,1970.00 ,42.95 ,235000.00 ,6.73 ,725.00 ,37609.50 
E01000240,Barnet 031B,1670.00 ,44.08 ,350000.00 ,6.26 ,514.00 ,39954.07 
E01000241,Barnet 031C,1744.00 ,33.97 ,340000.00 ,4.45 ,666.00 ,49761.66 
E01000242,Barnet 032B,1656.00 ,27.64 ,554975.00 ,5.73 ,519.00 ,50802.35 
E01000243,Barnet 032C,1884.00 ,18.36 ,239000.00 ,5.33 ,701.00 ,38492.33 
E01000244,Barnet 032D,1705.00 ,22.37 ,315000.00 ,3.97 ,581.00 ,39920.83 
E01000245,Barnet 032E,1982.00 ,18.11 ,325000.00 ,7.31 ,506.00 ,31050.41 
E01000246,Barnet 002B,1503.00 ,107.64 ,330000.00 ,3.99 ,566.00 ,53917.74 
E01000247,Barnet 002C,1691.00 ,26.56 ,250000.00 ,5.98 ,620.00 ,49129.41 
E01000248,Barnet 001A,1661.00 ,27.08 ,320000.00 ,5.59 ,632.00 ,55748.44 
E01000249,Barnet 001B,1525.00 ,81.29 ,489000.00 ,3.81 ,601.00 ,64126.13 
E01000250,Barnet 001C,2232.00 ,58.15 ,327500.00 ,3.89 ,779.00 ,46232.54 
E01000251,Barnet 002D,1846.00 ,22.31 ,212250.00 ,5.41 ,598.00 ,39335.48 
E01000252,Barnet 002E,1609.00 ,23.49 ,287000.00 ,6.15 ,552.00 ,43781.06 
E01000253,Barnet 007B,1691.00 ,331.69 ,1100000.00 ,4.36 ,568.00 ,72183.95 
E01000254,Barnet 001D,1549.00 ,152.68 ,406250.00 ,4.74 ,616.00 ,63128.04 
E01000255,Barnet 017A,1481.00 ,106.83 ,326500.00 ,7.03 ,412.00 ,40421.19 
E01000256,Barnet 016A,1788.00 ,56.19 ,323500.00 ,4.55 ,651.00 ,55214.68 
E01000257,Barnet 017B,1855.00 ,68.00 ,265000.00 ,11.29 ,434.00 ,31707.12 
E01000258,Barnet 016B,1658.00 ,79.81 ,420000.00 ,3.95 ,617.00 ,54659.57 
E01000259,Barnet 025D,2597.00 ,128.40 ,365000.00 ,5.96 ,857.00 ,45907.70 
E01000260,Barnet 025E,1982.00 ,81.63 ,286250.00 ,6.13 ,590.00 ,40870.41 
E01000261,Barnet 017C,1601.00 ,119.72 ,552500.00 ,4.37 ,558.00 ,60419.75 
E01000262,Barnet 017D,2260.00 ,220.96 ,390000.00 ,6.48 ,658.00 ,42419.01 
E01000263,Barnet 016C,1581.00 ,39.42 ,760000.00 ,1.64 ,606.00 ,79007.12 
E01000264,Barnet 016D,1648.00 ,37.78 ,290000.00 ,5.75 ,544.00 ,41096.13 
E01000265,Barnet 011A,1927.00 ,21.08 ,220000.00 ,7.43 ,509.00 ,36858.37 
