lsoa,names,unemployment_rate,work_popu_rate,population_density,couple_household_with_dependent_children,couple_household_without_dependent_children,lone_parent_household,one_person_household,other_multi_person_household,ethnic_white,ethnic_mixed_multiple,ethnic_asian_asian_british,ethnic_black,ethnic_other,ethnic_bame,country_of_birthc_uk,country_of_birthc_nuk,religionc_christian,religionc_buddhist,religionc_hindu,religionc_jewish,religionc_muslim,religionc_sikh,religionc_other_religion,religionc_no_religion,religionc_religion_not_stated,tenurec_owned_outright,tenurec_owned_with_a_mortgage_or_loan,tenurtc_social_rented,tenurec_private_rented,dwelling_typec_household_spaces_with_at_least_one_usual_resident,dwelling_typec_household_spaces_with_no_usual_residents,dwelling_type_detached,dwelling_type_semi_detached,dwelling_type_terraced,dwelling_type_flat,house_prices,no_qualifications,level1_qualifications,level2_qualifications,apprenticeship,level3_qualifications,level4_qualifications_and_above,other_qualifications,over_18_students,health_activities_limited,health_activities_limited_a_little,health_activities_not_limited,good_health,fair_health,bad_health,nocars,1car,2cars,3cars,4+_cars,cars_per_household,transport_accessibility,household_income
E01000878,Camden 004A,405,7302,1902,1706,2903,8,3402,1009,6805,606,1609,401,309,3105,54,46,2702,105,4,1707,701,4,103,24,1608,3501,2005,1103,2903,9302,608,701,401,205,8603,725000,707,403,705,6,2302,4506,11,2702,4,607,8903,8706,902,301,3402,4306,1607,308,106,1,403,56251
E01000879,Camden 004B,405,6906,1707,1709,2604,505,3904,1008,8004,408,808,203,307,1906,56,44,3505,105,2,1008,203,3,9,2706,1901,3001,1906,803,40,9404,506,708,604,407,81,812500,502,403,803,1,1209,60,804,13,308,603,8909,9001,704,205,4508,41,1005,2,7,7,409,64715
E01000880,Camden 004C,303,6208,2004,2509,2107,505,3008,1601,7508,602,12,202,309,2402,5002,4908,3707,102,204,1205,305,1,102,2108,1906,2709,2209,503,4107,9203,707,706,7,204,8301,930500,409,401,706,5,509,6801,809,409,305,404,9201,9101,701,108,3506,4806,1206,207,5,8,508,69876
E01000884,Camden 004D,304,6401,2405,2403,2505,507,3104,1302,7909,508,905,202,207,2001,5707,4203,2808,7,201,2008,307,1,6,1905,2307,3701,2508,402,3008,9107,803,1201,2003,209,6407,1030000,409,307,808,4,707,6503,902,701,209,5,9201,9005,704,202,2602,4007,2508,509,104,102,207,71430
E01000885,Camden 004E,301,5604,3004,2103,3204,509,2901,1103,7507,701,1006,103,501,2403,5805,4105,3007,107,8,1808,302,2,9,1709,2509,4302,1505,804,2704,9104,806,1605,14,803,6101,1572500,1008,501,804,4,704,5606,1103,402,705,503,8702,8702,903,305,1908,4907,2203,409,304,103,206,78339
E01000871,Camden 005A,605,7001,3006,1507,2508,605,29,2301,7003,7,1203,407,508,2907,6204,3706,3204,101,108,1209,1107,4,5,1902,2001,29,2604,1404,2607,9302,608,801,2802,608,5608,650000,808,601,701,1,907,5708,905,609,408,607,8805,8608,904,308,3607,4206,1409,407,101,9,309,50050
E01000872,Camden 005B,505,8107,1407,907,2009,706,4108,1909,6609,7,1405,704,402,3301,4706,5204,3904,106,103,104,708,3,4,2501,2206,904,1508,1408,5806,9407,503,406,1006,303,8105,342475,1102,701,703,101,809,5106,1207,703,606,608,8606,8605,903,402,6501,2708,608,3,0,4,501,32194
E01000873,Camden 005C,402,7403,1202,1401,2305,805,3301,2008,8103,4,608,406,304,1807,6709,3201,3702,7,8,607,307,0,4,2906,2009,2603,2506,1308,3304,9701,209,201,404,2603,6703,560000,606,402,609,102,803,6505,704,4,307,603,8909,8904,608,308,4408,4208,1103,101,0,7,308,54005
E01000874,Camden 005D,306,7106,806,1709,27,5,3202,1709,7506,407,1108,203,506,2404,5309,4601,3307,7,303,11,503,3,6,2702,1709,2707,2803,3,3808,9509,401,4,7,401,9408,615000,404,308,605,4,705,6705,10,703,3,503,9107,91,7,201,4509,4609,608,4,0,6,509,57465
E01000877,Camden 005E,502,7602,1101,1506,2506,5,3707,1601,7901,503,806,302,308,2009,5808,4102,3704,8,101,907,309,0,7,25,2103,1709,2304,908,4608,9405,505,2,409,2006,7204,845000,603,506,704,7,808,6402,609,407,405,608,8807,8707,807,306,4808,4005,902,8,7,6,5,54472
E01000886,Camden 006A,404,6902,1003,1803,2204,904,3009,19,8208,702,505,206,109,1702,7004,2906,35,105,7,203,303,1,3,3601,2008,2409,2909,1707,2507,9501,409,9,806,2204,68,442500,708,607,708,6,805,6201,604,5,6,605,8705,8609,809,402,4202,4605,1002,1,0,7,4,50302
E01000887,Camden 006B,508,7402,10,1302,2202,808,38,1708,7701,602,907,207,403,2209,6202,3708,3605,8,106,307,408,1,4,3006,2105,1806,2406,1901,3505,9606,304,8,308,22,7304,419000,10,606,509,6,704,6009,805,505,605,602,8703,8501,908,502,5508,3607,604,1,1,5,408,44663
E01000888,Camden 006C,606,6903,904,1807,2009,906,3602,1406,7706,606,807,409,203,2204,6706,3204,3709,104,7,405,601,1,6,3101,1706,2105,1904,3007,27,9703,207,1,301,2108,7402,495000,1106,6,801,105,801,5901,506,901,6,702,8608,8508,806,506,5305,3709,703,103,0,6,402,43520
E01000892,Camden 006D,5,6603,1202,1504,21,12,3704,1401,7404,509,1103,508,206,2506,63,37,3403,1,9,404,804,2,7,3004,1907,2101,1707,2803,2804,9609,301,102,707,805,8207,525000,905,603,808,1,9,5606,807,505,701,702,8507,84,1004,506,5108,4103,6,9,1,6,408,43769
E01000903,Camden 006E,609,7201,1002,1403,2006,604,4309,1409,7401,501,1302,501,204,2509,6209,3701,3509,8,1,403,9,8,1,2707,2003,2406,1605,3201,2405,9601,309,104,409,1404,7903,560000,1105,505,803,6,902,5607,802,709,708,709,8403,8204,1105,6,52,4206,405,9,0,5,308,43891
E01000889,Camden 007A,1108,6708,1107,1502,1508,2002,3401,1406,6009,804,1408,1107,403,3901,6902,3008,4208,7,1,9,1608,1,5,2005,1705,508,1008,7108,10,9902,8,207,501,1606,7505,275000,2604,1107,1009,109,11,2805,907,804,1102,1008,78,7407,1403,1101,6405,2809,505,101,0,4,306,25438
E01000890,Camden 007B,1303,6305,706,909,1407,1603,4605,1205,61,505,1309,1406,5,39,6109,3801,43,1,7,4,1909,1,7,1605,1707,207,6,8208,7,9808,102,1,1,9,9808,221000,3006,1206,1102,8,901,2408,11,708,1501,12,7209,7003,1606,13,7101,2409,309,0,1,3,401,20034
E01000891,Camden 007C,1308,6605,708,11,1201,2008,4105,1406,5607,602,1707,1507,308,4303,6108,3802,3504,7,6,8,2108,0,2,1904,2101,505,8,6805,1601,9805,105,1,4,301,9505,275750,2902,1202,1002,102,1105,2705,803,1102,1406,1006,7408,75,1308,1101,7506,22,109,1,3,3,302,19956
E01000901,Camden 007D,1104,6801,1006,1708,905,2303,3204,1609,4908,706,2306,1308,502,5002,6101,3809,3306,5,101,7,2309,1,3,2009,1809,404,1101,6601,1304,9805,105,1,8,401,95,275000,2203,1201,906,102,1107,3404,807,1907,908,804,8108,7903,1304,703,6807,2807,204,1,0,3,406,23151
E01000922,Camden 007E,6,7702,1901,906,1602,1102,4007,2202,7203,706,701,1008,203,2707,7003,2907,3408,7,4,1,907,1,8,3206,1908,1303,1302,4201,2605,9708,202,102,306,1702,7708,387500,1403,709,709,9,19,4402,509,1902,6,707,8603,8504,909,407,6505,3009,301,0,5,4,509,30870
E01000927,Camden 007F,405,7505,1001,1209,2203,1201,2709,2407,7608,605,806,506,204,2302,6605,3305,3109,102,101,2,602,0,3,36,2103,2509,2304,2105,2702,9709,201,102,401,3309,6007,537550,1208,407,603,9,9,5902,7,806,602,701,8607,8403,11,407,5406,3909,502,3,0,5,607,43205
E01000881,Camden 008A,406,7101,1408,1207,2206,504,3901,2003,6709,8,1604,502,206,3201,43,57,3306,107,201,801,6,1,3,2404,2307,2202,1106,908,5401,9203,707,504,301,102,9004,546436,501,4,406,2,908,6203,1309,1301,504,601,8805,8803,802,305,5302,3506,9,107,5,6,604,48802
E01000882,Camden 008B,206,7105,1202,1509,2709,403,3806,1303,8009,408,909,104,3,1901,5005,4905,3507,105,106,1003,207,1,5,2203,2504,29,2005,207,4503,9602,308,308,404,1207,7901,837500,302,203,503,4,606,7202,1001,4,202,402,9306,9201,605,103,4505,43,905,102,8,7,504,66131
E01000883,Camden 008C,5,7309,1401,1401,2305,404,4004,1706,6401,502,2401,203,402,3509,4008,5902,3109,205,303,805,508,5,101,2705,1809,2008,1404,708,5402,9409,501,108,106,1,9505,620000,608,209,504,3,702,6402,1302,1004,404,605,8901,8901,801,209,6104,3103,506,103,3,5,608,50701
E01000897,Camden 008D,303,6407,1908,2201,3001,306,3307,1005,7905,601,11,9,206,2005,5302,4608,3202,103,2,1405,206,4,8,25,2101,3806,2009,202,35,9308,602,303,808,309,84,733750,406,301,503,0,509,7305,705,401,401,503,9006,9008,608,204,3702,4702,13,107,1,8,406,72916
E01000898,Camden 008E,5,7209,1701,1105,1804,601,4902,1408,5805,807,1905,808,404,4105,5104,4806,35,6,209,507,708,3,8,2103,2507,1303,804,4401,3106,9607,303,205,408,702,8506,765000,10,401,6,5,709,6305,709,603,709,703,8408,8407,908,505,66,2705,506,8,0,4,5,44230
E01000866,Camden 009A,701,7204,1406,1106,1803,1204,3903,1805,7006,603,905,901,405,2904,6601,3309,3201,4,7,203,909,0,6,3309,20,1508,1509,44,22,9803,107,105,706,804,8205,429250,1403,708,806,1,1009,5004,609,903,902,705,8303,8003,1201,706,6202,3202,502,3,1,4,603,33436
E01000870,Camden 009B,704,7401,1207,1109,2003,1201,4008,1409,7408,508,706,1003,105,2502,7002,2908,37,8,2,107,802,1,8,3108,1904,1204,2005,4502,1906,98,2,8,807,603,8402,375000,1508,808,906,105,10,49,503,707,1001,8,8109,8009,1105,706,59,3604,4,5,0,5,507,31544
E01000924,Camden 009C,5,7708,908,903,2508,801,3806,1802,7807,507,802,503,2,2103,6808,3102,3208,7,7,104,509,1,5,3804,1905,1909,2005,2408,3208,9702,208,103,302,1203,8209,460000,805,608,801,8,608,63,601,706,607,505,8708,8603,809,409,60,3503,4,3,4,5,5,40620
E01000925,Camden 009D,1109,6304,803,13,1206,1806,3901,1607,5503,407,1807,19,202,4407,5902,4008,35,102,4,8,2209,1,5,2303,1507,801,1106,63,1601,9806,104,3,301,609,8907,350000,2504,1005,1006,103,909,3403,801,1002,9,1007,8003,7808,1303,709,7004,2604,207,5,0,3,503,24857
E01000926,Camden 009E,309,7906,902,1009,1608,1102,2902,3109,5903,405,2004,706,803,4007,5205,4705,2605,107,3,102,1301,0,7,3205,2401,1006,1505,3301,39,9803,107,7,17,705,7408,730000,1008,505,7,1,908,61,409,908,5,501,8909,8604,805,501,6309,3204,302,3,3,4,5,32990
E01000969,Camden 010A,309,8001,1607,1301,2308,409,3507,2204,7405,506,1307,209,303,2505,5007,4903,3107,101,207,904,401,2,8,2603,2306,1907,2103,5,5109,9603,307,208,709,104,8708,490000,401,305,404,8,604,7104,905,503,306,402,9202,9005,7,205,5302,3709,704,103,1,6,602,54854
E01000970,Camden 010B,304,87,609,503,2307,307,4809,1804,8104,404,802,301,209,1806,5902,4008,3409,1,106,807,204,1,6,2904,2105,1409,2301,703,5304,9604,306,3,106,509,9201,496000,404,304,507,8,509,7202,706,5,401,403,9106,9103,6,208,6105,3302,501,2,0,4,508,48915
E01000971,Camden 010C,4,7304,8,19,2607,6,3402,1402,8009,409,909,109,204,1901,6408,3502,3803,105,7,607,501,1,9,2607,2001,2506,2501,1009,3704,9702,208,4,309,37,5807,507500,8,409,507,101,607,6405,901,506,508,504,8808,8802,709,309,4601,4402,608,203,6,7,409,55958
E01000972,Camden 010D,802,7308,14,1009,1703,1306,4306,1406,5609,603,1508,1603,406,4301,5108,4802,36,2,1,207,1401,7,6,2201,2007,903,603,4602,3506,9705,205,1,201,705,8904,485000,15,708,801,102,907,4803,10,9,1001,708,8201,8006,1007,807,6608,2809,309,4,0,4,608,30164
E01000973,Camden 010E,701,8008,2306,804,2101,1004,3801,2109,6302,603,1605,1006,304,3608,5607,4303,3608,102,105,4,12,4,8,2303,20,903,1401,2802,4606,9406,504,105,3,806,87,380950,1009,608,707,9,904,5608,704,803,604,604,8702,8402,909,509,6209,3107,5,4,0,4,602,33620
E01000842,Camden 011A,309,7204,1005,1304,2507,403,47,907,81,406,902,204,209,19,51,49,33,104,105,1103,107,1,4,2804,2202,3105,1801,1105,3606,9309,601,202,404,9,9205,725000,401,307,608,6,509,6908,902,509,404,507,8908,8907,708,205,4808,4204,702,105,1,6,401,62118
E01000844,Camden 011B,301,7305,1104,1608,2506,307,4106,1203,7505,506,1402,201,205,2405,4607,5303,3008,102,2,1002,209,6,7,2608,2409,2201,1904,707,4901,9502,408,5,208,207,9309,650000,406,302,5,5,603,7009,904,405,308,502,91,8905,704,3,5303,3606,903,6,2,6,404,61186
E01000848,Camden 011C,309,7209,1001,1303,3001,301,4302,1003,7808,407,1001,107,407,2102,5108,4802,3206,108,102,1108,203,4,5,2507,2308,2903,2002,901,3808,9309,601,104,403,607,8706,765000,704,301,501,7,605,6704,908,307,401,503,9006,89,801,208,4902,4305,606,6,1,6,403,60261
E01000849,Camden 011D,302,7402,708,10,1803,408,5401,1209,76,506,1205,208,301,24,5501,4409,31,103,207,1004,401,2,5,27,2206,2502,1802,703,4702,9408,502,4,103,704,9009,525000,505,307,6,1,702,6807,708,509,409,507,8904,8803,808,209,6306,3107,402,5,1,4,407,50928
E01000900,Camden 012A,808,71,909,1207,2101,1306,3308,1808,7202,409,807,11,303,2708,6907,3003,4108,6,5,109,1108,1,4,2504,1705,1305,1704,4209,24,9803,107,8,206,2701,6905,370000,1901,1006,7,104,1206,4204,609,708,907,807,8106,8006,1104,709,6503,2902,5,4,1,4,403,31182
E01000902,Camden 012B,1006,6509,804,1402,1401,20,3606,1501,5301,709,1706,15,603,4609,6409,3501,3309,107,5,106,2403,1,8,1904,1706,708,1002,6202,1703,9704,206,3,103,306,9407,275000,2109,11,1101,102,803,3508,1008,809,905,1002,8003,7609,1502,709,6705,2708,404,3,0,4,302,24571
E01000904,Camden 012C,808,7101,1107,1009,1806,1606,3307,2003,6603,609,1206,1101,301,3307,6503,3407,3507,104,9,2,1402,0,6,2607,1806,907,1302,5201,24,9703,207,6,201,1401,8301,325000,1801,1001,10,103,906,4008,1001,1004,903,805,8202,8009,1109,702,6504,3007,307,2,0,4,607,29190
E01000905,Camden 012D,1109,6109,806,1307,1201,2209,3609,1404,5201,407,2004,1809,308,4709,6004,3906,3507,6,4,7,2808,1,1,1607,1608,106,701,7702,1304,9804,106,6,8,107,9608,351500,2902,1108,903,106,11,2701,10,1001,1105,1006,7709,7406,1505,10,7106,2406,304,2,1,3,5,21024
E01000906,Camden 012E,309,7504,1308,901,2601,6,4005,1803,7705,504,903,403,305,2205,6108,3802,3508,1,4,8,507,4,1,2801,1905,2808,2009,1208,3507,9403,507,103,603,109,9004,440000,702,401,604,6,707,6702,607,608,506,802,8602,8506,908,406,53,3802,606,106,5,6,407,48841
E01000875,Camden 013A,507,7906,1107,7,2006,1001,44,1802,6705,603,1304,806,402,3205,5201,4709,3307,108,109,304,905,1,8,2407,2401,1206,1703,1509,5202,96,4,203,304,106,9207,335750,904,505,702,102,10,5601,1007,803,603,7,8606,8408,907,505,6604,2806,309,4,7,4,409,33219
E01000876,Camden 013B,907,7204,1107,10,1904,1206,4208,1503,5804,703,1208,1507,509,4106,5408,4502,3803,4,9,205,1806,5,6,1701,2101,8,18,4208,2901,9809,101,1,408,1903,7408,330000,1701,705,9,9,901,4404,12,902,11,707,8103,8001,1104,805,6409,3102,306,1,1,4,406,28093
E01000931,Camden 013C,1009,7209,1407,1102,1608,1306,4009,1704,59,6,1107,1504,8,41,53,47,3805,5,102,109,1805,1,3,17,22,504,1306,4205,37,9708,202,9,107,504,92,320000,2005,906,1006,1,804,3704,1204,703,907,908,8005,7806,1206,808,7001,2602,306,1,0,3,507,25729
E01000932,Camden 013D,402,8203,606,603,2404,807,4204,1802,6907,5,1206,803,404,3003,5505,4405,3609,4,202,209,508,3,5,2701,2308,1409,1809,2706,3707,9706,204,7,102,704,9006,388000,909,509,605,101,601,61,905,502,705,804,8401,8304,1005,601,6503,3005,308,1,3,4,601,37270
E01000974,Camden 013E,706,7807,1105,708,1901,1103,4306,1801,61,608,1108,1502,502,39,5708,4202,3403,103,9,202,1403,2,1,2208,2301,9,1603,3508,3703,9807,103,6,104,9,8809,340000,1504,802,1002,107,803,4508,1004,808,903,705,8302,8103,1105,701,6409,3002,309,1,0,4,508,29982
E01000843,Camden 014A,608,7002,803,1408,2206,9,4108,1108,7102,601,1208,7,209,2808,5709,4201,3408,1,104,8,802,4,7,2503,2002,2403,1309,2202,3801,94,6,6,306,408,9006,675000,803,505,702,2,609,6302,806,605,405,408,9007,8703,9,307,5704,3701,407,4,4,5,4,44503
E01000845,Camden 014B,307,7307,1108,1204,2207,507,4605,1206,7801,409,11,404,106,2109,5606,4304,32,102,102,9,608,3,5,2805,2005,2601,2105,1207,3802,9409,501,104,209,1003,8505,525000,608,604,507,6,709,6309,806,701,603,404,8903,8706,709,405,4709,4208,703,105,5,6,307,53278
E01000846,Camden 014C,905,6101,803,1702,1606,19,3507,1105,5807,506,1401,1705,401,4103,5604,4306,3309,6,1,603,2103,1,3,1704,1902,1504,1002,5803,1401,9601,309,9,402,1809,76,1077500,1803,606,1009,104,907,4204,1007,707,807,709,8304,8205,1101,603,5309,36,705,204,2,6,304,34028
E01000847,Camden 014D,807,6303,909,2002,1704,1402,3404,1307,5903,506,1909,1101,402,4007,5409,4501,2808,102,301,1009,2106,1,4,1702,1606,1707,1406,4008,2506,9403,507,101,508,1607,7602,530000,1308,807,905,9,905,4601,1105,607,603,605,8701,8501,907,502,48,3707,1101,201,102,7,406,35289
E01000864,Camden 015A,508,7805,908,1006,2203,1005,37,1907,7306,503,904,802,304,2604,6706,3204,3104,9,102,102,805,0,103,3705,1801,1603,1908,28,3407,9506,404,103,701,1409,7605,510000,1007,605,802,6,1204,5505,6,1109,505,701,8704,8405,1003,503,5903,3403,503,101,0,5,302,38957
E01000865,Camden 015B,408,8306,1009,1209,2006,409,4004,2103,7403,402,1606,306,103,2507,6201,3709,2802,105,201,104,307,1,7,3901,2303,2004,2208,2701,2707,9405,505,205,1206,1706,6703,435000,505,307,607,5,3106,4505,605,4308,302,404,9204,9002,604,305,5509,3608,6,101,2,5,406,47904
E01000867,Camden 015C,7,7108,801,809,1801,1207,3504,2409,5903,506,2202,10,3,4007,5702,4208,3001,109,101,8,21,1,1,2604,1805,608,1109,4503,3308,9707,203,1,303,509,9004,374975,1907,708,706,7,12,4108,1005,1703,806,805,8209,8006,1202,702,7204,24,3,6,0,3,609,26792
E01000868,Camden 015D,1209,6609,804,1508,1406,1708,3705,1404,4706,608,1706,2508,201,5204,6005,3905,36,105,3,8,2201,0,2,2003,1807,507,804,7107,1207,9808,102,202,407,903,8306,267500,2301,1205,1202,9,901,3307,807,704,1005,1001,7905,7805,1302,803,6307,33,206,7,0,4,204,24521
E01000869,Camden 015E,601,7601,1105,1007,2001,901,3706,2205,7205,703,9,809,204,2705,6402,3508,2909,103,9,106,1005,0,5,3506,1908,1508,1707,2509,3901,9304,606,5,208,10,8608,406000,1101,604,606,4,13,5407,706,1309,602,607,8701,8407,10,503,6109,3208,406,5,2,4,403,34563
E01000962,Camden 016A,404,80,905,1601,2701,6,3107,1901,7407,402,1501,301,209,2503,4904,5006,3405,104,303,906,4,3,4,30,1604,2101,2306,509,4707,9604,306,9,104,407,93,497475,402,302,407,4,609,7109,807,6,208,4,9302,9207,502,202,5203,4007,603,7,0,6,607,57954
E01000964,Camden 016B,507,7203,1206,1404,2202,1101,3605,1508,7406,402,1206,503,302,2504,5303,4607,3502,106,201,803,1006,1,8,2602,1501,1503,1901,3003,3304,9803,107,8,3,209,9302,560000,8,604,703,103,706,6003,9,608,602,702,8606,86,908,402,5205,3908,7,6,1,6,7,45755
E01000965,Camden 016C,3,7607,1008,1006,25,801,41,1503,7104,5,14,501,405,2806,5702,4208,3705,203,202,909,609,2,8,25,1502,2003,2105,1802,3809,9703,207,302,207,204,9107,454750,706,506,509,5,608,65,807,609,602,507,8802,8705,9,305,5408,38,505,106,1,5,602,44410
E01000966,Camden 016D,2,7601,13,1705,2908,208,3209,17,8309,304,907,9,202,1601,5204,4706,3708,103,304,13,203,0,3,2806,1304,2608,2605,307,4201,96,4,301,503,5,8606,677500,406,202,401,5,501,7401,905,502,3,4,93,9203,506,201,4003,4608,1001,202,6,8,506,63943
E01000968,Camden 016E,308,7904,802,10,2501,409,4103,1807,7406,504,1206,407,208,2504,5909,4001,3109,7,103,706,903,1,5,27,2104,1804,2007,1802,4106,9608,302,109,108,505,9007,437000,804,409,403,7,7,6704,702,501,606,503,88,8702,8,407,5508,3808,409,4,1,5,603,46075
E01000960,Camden 017A,607,7109,1104,14,2401,608,3802,1609,6102,409,2309,501,5,3808,4606,5304,3004,302,302,804,1401,3,1,2308,1506,1805,1502,1702,4509,9709,201,6,206,908,8701,397500,809,603,504,1,707,5801,1205,806,408,704,8708,8601,1003,306,6008,3305,408,8,1,5,7,41451
E01000961,Camden 017B,1002,65,1109,17,1705,1706,3002,1706,5307,403,2405,1103,603,4603,5102,4808,3007,106,303,8,2203,1,4,1804,1404,1607,1303,3803,2705,9705,205,4,309,708,8709,491000,1607,702,804,7,808,4308,1404,1003,807,707,8307,81,1208,603,5504,36,705,101,0,5,608,30385
E01000963,Camden 017C,402,6607,1903,1704,2305,701,3605,1505,5107,308,3007,505,802,4803,3108,6802,2702,407,4,1206,1209,5,4,2009,1608,2504,12,803,4707,8406,1504,303,209,306,9003,645000,1108,407,507,4,6,5401,1703,908,704,603,8603,8506,908,406,4603,4207,902,103,6,7,603,52918
E01000967,Camden 017D,305,6503,3702,1902,2409,503,3603,1402,7506,4,1301,308,304,2404,5304,4606,3102,3,306,1805,4,2,5,1807,2209,3502,1809,1204,3002,8907,1003,906,501,402,8102,865000,1007,506,707,101,609,56,12,408,5,607,8802,8704,905,301,3402,4303,15,507,108,1,303,60568
