Codes,Names,Level_4_qualifications,Mean_Annual_Household_Income,Population_Density
E01000964,Camden 016B,4194,3993,1074.00 
E01000965,Camden 016C,4406,3878,702.00 
E01000966,Camden 016D,4636,4687,1153.00 
E01000968,Camden 016E,4530,4017,284.00 
E01000960,Camden 017A,4414,3652,812.00 
E01000961,Camden 017B,2926,2215,943.00 
E01000963,Camden 017C,4485,4402,2261.00 
E01000967,Camden 017D,3505,4630,3922.00 
E01000857,Camden 018A,3829,4135,274.00 
E01000858,Camden 018B,2905,1584,2641.00 
E01000859,Camden 018C,4584,4641,499.00 
E01000860,Camden 018D,3658,3914,2461.00 
E01000862,Camden 018E,4702,4668,1883.00 
E01000856,Camden 019A,2644,1520,928.00 
E01000861,Camden 019B,3653,2173,819.00 
E01000957,Camden 019C,3302,1874,880.00 
E01000958,Camden 019D,3823,1544,2958.00 
E01000959,Camden 019E,1446,347,182.00 
E01000929,Camden 020A,1813,1353,517.00 
E01000930,Camden 020B,3460,737,872.00 
E01000933,Camden 020C,4456,3221,741.00 
E01000934,Camden 020D,2508,998,366.00 
E01000935,Camden 020E,1536,1059,95.00 
E01000863,Camden 021A,4005,3601,1735.00 
E01000946,Camden 021B,3548,3375,4266.00 
E01000947,Camden 021C,4464,2086,1647.00 
E01000948,Camden 021D,4104,3593,2314.00 
E01000952,Camden 022A,1600,719,365.00 
E01000953,Camden 022B,1276,468,4439.00 
E01000954,Camden 022C,276,244,57.00 
E01000955,Camden 022D,779,386,108.00 
E01000956,Camden 022E,1749,1112,1695.00 
E01000944,Camden 023A,1175,598,69.00 
E01000945,Camden 023B,2667,1574,3216.00 
E01000949,Camden 023C,1883,2014,97.00 
E01000950,Camden 023D,465,105,136.00 
E01000951,Camden 023E,1276,263,29.00 
E01000936,Camden 024A,3522,1823,387.00 
E01000938,Camden 024B,2972,1327,286.00 
E01000939,Camden 024C,308,579,235.00 
E01000940,Camden 024D,2142,1764,30.00 
E01000853,Camden 025A,2807,1928,70.00 
E01000937,Camden 025B,3552,1762,1055.00 
E01000941,Camden 025C,772,552,20.00 
E01000942,Camden 025D,3795,2484,180.00 
E01000943,Camden 025E,2965,2406,149.00 
E01000850,Camden 026A,4585,3864,2291.00 
E01000851,Camden 026B,4462,3219,1203.00 
E01000852,Camden 026C,3367,2604,1040.00 
E01000854,Camden 026D,3616,2027,2195.00 
E01000915,Camden 027A,2381,1854,191.00 
E01000916,Camden 027B,4284,2799,1483.00 
E01000917,Camden 027C,2652,981,204.00 
E01000920,Camden 027D,4544,3286,1235.00 
E01000855,Camden 028A,4776,3000,3628.00 
E01000914,Camden 028B,4595,3328,4169.00 
E01000918,Camden 028C,4466,2904,1844.00 
E01000919,Camden 028D,4056,3065,1593.00 
E01000001,City of London 001A,4736,4527,1140.00 
E01000002,City of London 001B,4715,4494,2788.00 
E01000003,City of London 001C,3845,2692,75.00 
E01000005,City of London 001E,786,512,2212.00 
E01032739,City of London 001F,3912,4341,4754.00 
E01032740,City of London 001G,4343,4313,4467.00 
E01001808,Hackney 001A,434,2804,1093.00 
E01001809,Hackney 001B,1062,2426,822.00 
E01001814,Hackney 001C,1457,2293,819.00 
E01001823,Hackney 001D,526,2211,1546.00 
E01001825,Hackney 001E,21,3250,674.00 
E01001714,Hackney 002A,1657,777,1533.00 
E01001811,Hackney 002D,336,89,329.00 
E01001813,Hackney 002E,566,68,517.00 
E01033701,Hackney 002F,1768,97,3028.00 
E01001799,Hackney 003A,1340,3394,670.00 
E01001802,Hackney 003B,846,1783,642.00 
E01001804,Hackney 003C,1141,3027,771.00 
E01001807,Hackney 003D,2236,2140,893.00 
E01001812,Hackney 003E,1693,2075,3013.00 
E01001725,Hackney 004A,1322,2819,466.00 
E01001726,Hackney 004B,355,738,38.00 
E01001800,Hackney 004C,604,989,329.00 
E01001824,Hackney 004D,234,1061,2618.00 
E01001826,Hackney 004E,456,1382,805.00 
E01001723,Hackney 006A,3650,3343,916.00 
E01001724,Hackney 006B,4658,2688,874.00 
E01001727,Hackney 006C,2460,3436,685.00 
E01001768,Hackney 006D,4175,3235,592.00 
E01001769,Hackney 006E,3522,3100,1021.00 
E01001715,Hackney 007A,4175,3638,213.00 
E01001716,Hackney 007B,2972,1728,255.00 
E01001717,Hackney 007C,2245,3283,513.00 
E01001718,Hackney 007D,4778,4165,627.00 
E01001719,Hackney 007E,1550,1440,105.00 
E01001720,Hackney 007F,4713,4117,574.00 
E01001742,Hackney 008A,3823,2656,1049.00 
E01001801,Hackney 008B,1805,2313,1495.00 
E01001803,Hackney 008C,4149,3853,1774.00 
E01001806,Hackney 008D,3505,2866,3670.00 
E01001741,Hackney 009A,3957,4312,362.00 
E01001805,Hackney 009B,3065,3509,1486.00 
E01001829,Hackney 009C,4512,4446,792.00 
E01001831,Hackney 009D,4071,3165,769.00 
E01001832,Hackney 009E,3865,3115,596.00 
E01001764,Hackney 010A,3247,1848,650.00 
E01001765,Hackney 010B,988,201,1061.00 
E01001767,Hackney 010D,3227,2391,667.00 
E01001770,Hackney 010E,2480,762,1134.00 
E01033703,Hackney 010F,2667,1048,121.00 
E01033713,Hackney 010G,2870,1689,3130.00 
E01001792,Hackney 011A,3268,2258,1984.00 
E01001793,Hackney 011B,3622,2529,1710.00 
E01001794,Hackney 011C,3709,3261,1099.00 
E01001795,Hackney 011D,3378,2838,584.00 
E01001796,Hackney 011E,3392,1747,430.00 
E01001736,Hackney 012A,4051,3751,396.00 
E01001737,Hackney 012B,4537,4128,565.00 
E01001738,Hackney 012C,4219,3614,415.00 
E01001739,Hackney 012D,4711,3988,986.00 
E01001786,Hackney 013A,1012,324,4689.00 
E01001787,Hackney 013B,308,147,2699.00 
E01001788,Hackney 013C,864,277,835.00 
E01001790,Hackney 013D,443,203,51.00 
E01001740,Hackney 014A,1842,596,353.00 
E01001747,Hackney 014B,4554,2592,1387.00 
E01001830,Hackney 014C,3582,1366,615.00 
E01001833,Hackney 014D,4456,2284,869.00 
E01001834,Hackney 014E,4672,3008,474.00 
E01001835,Hackney 014F,3362,3795,182.00 
E01001733,Hackney 015A,3725,2471,1446.00 
E01001785,Hackney 015B,2570,1723,406.00 
E01001789,Hackney 015C,3354,2623,499.00 
E01001791,Hackney 015D,1430,1350,629.00 
E01001745,Hackney 016A,3768,907,798.00 
E01001746,Hackney 016B,1090,556,33.00 
E01001757,Hackney 016C,1622,476,34.00 
E01001758,Hackney 016D,3344,883,1046.00 
E01001759,Hackney 016E,3639,1795,612.00 
E01001761,Hackney 016F,3392,1294,696.00 
E01001731,Hackney 017A,4198,1172,1950.00 
E01001734,Hackney 017B,3927,1773,1213.00 
E01001760,Hackney 017C,3285,1622,1429.00 
E01001762,Hackney 017D,4313,2654,1387.00 
E01001846,Hackney 018A,597,832,4356.00 
E01001847,Hackney 018B,649,685,658.00 
E01001848,Hackney 018C,2644,1542,1570.00 
E01001849,Hackney 018D,4082,1389,4272.00 
E01001729,Hackney 019A,2391,317,1103.00 
E01001730,Hackney 019B,1226,187,1158.00 
E01001732,Hackney 019C,1293,225,114.00 
E01001735,Hackney 019D,3016,1962,1201.00 
E01001838,Hackney 019E,824,112,143.00 
E01001850,Hackney 019F,680,133,160.00 
E01001748,Hackney 020A,4763,2629,2014.00 
E01001749,Hackney 020B,4521,3762,682.00 
E01001763,Hackney 020C,3540,2607,724.00 
E01001816,Hackney 020D,3384,3075,1251.00 
E01001819,Hackney 020E,3618,3637,1245.00 
E01001744,Hackney 021B,3670,2281,1228.00 
E01001750,Hackney 021C,4019,2782,1458.00 
E01001751,Hackney 021D,4631,4642,1613.00 
E01001756,Hackney 021E,4802,3727,1748.00 
E01033698,Hackney 021F,1409,687,83.00 
E01033699,Hackney 021G,3136,2577,459.00 
E01033700,Hackney 021H,4271,3085,755.00 
E01033707,Hackney 021I,3022,1652,622.00 
E01001836,Hackney 022A,3371,2721,1174.00 
E01001840,Hackney 022B,2034,895,724.00 
E01001841,Hackney 022C,2517,2781,1272.00 
E01001844,Hackney 022D,4056,3323,1640.00 
E01001845,Hackney 022E,1129,630,765.00 
E01001837,Hackney 023B,3983,4068,788.00 
E01001839,Hackney 023C,4653,2156,705.00 
E01001842,Hackney 023D,2335,1343,112.00 
E01001843,Hackney 023E,2106,3198,191.00 
E01033704,Hackney 023F,4511,3538,2655.00 
E01033712,Hackney 023G,3768,1845,1751.00 
E01001772,Hackney 024A,395,258,122.00 
E01001774,Hackney 024B,4251,1755,2054.00 
E01001775,Hackney 024C,2203,378,1087.00 
E01001815,Hackney 024D,2674,811,741.00 
E01001820,Hackney 024E,1786,1073,329.00 
E01001821,Hackney 024F,1499,429,141.00 
E01001752,Hackney 025A,4795,3204,1107.00 
E01001753,Hackney 025B,1648,488,199.00 
E01001754,Hackney 025C,4456,1675,991.00 
E01001755,Hackney 025D,2265,905,594.00 
E01001773,Hackney 025E,3751,1241,988.00 
E01001776,Hackney 025F,1668,333,588.00 
E01001779,Hackney 026A,4449,1602,1304.00 
E01001781,Hackney 026B,1911,166,1562.00 
E01001782,Hackney 026C,4706,3241,1260.00 
E01001783,Hackney 026D,2410,342,92.00 
E01001777,Hackney 027B,4369,1260,1622.00 
E01001780,Hackney 027D,3445,1340,751.00 
E01001784,Hackney 027E,3445,909,207.00 
E01033706,Hackney 027F,4562,3908,1224.00 
E01033708,Hackney 027G,4722,4325,3857.00 
E01033709,Hackney 027H,3852,2362,374.00 
E01033711,Hackney 027I,3302,3189,223.00 
E01001798,Hackney 028A,1600,501,650.00 
E01001828,Hackney 028B,2189,597,780.00 
E01033702,Hackney 028C,1116,1151,563.00 
E01033705,Hackney 028D,1397,1180,1714.00 
E01033710,Hackney 028E,1642,1488,18.00 
E01001722,Hackney 029A,2797,1244,663.00 
E01001728,Hackney 029B,208,1600,422.00 
E01001822,Hackney 029C,730,426,320.00 
E01001827,Hackney 029D,413,821,1918.00 
E01001874,Hammersmith and Fulham 001A,3718,2002,4643.00 
E01001875,Hammersmith and Fulham 001B,1303,1143,1862.00 
E01001876,Hammersmith and Fulham 001C,3664,1209,4616.00 
E01001877,Hammersmith and Fulham 001D,1488,1794,4712.00 
E01001878,Hammersmith and Fulham 001E,680,1313,1343.00 
E01001955,Hammersmith and Fulham 002A,1258,729,2650.00 
E01001957,Hammersmith and Fulham 002B,465,54,175.00 
E01001958,Hammersmith and Fulham 002C,465,23,24.00 
E01001961,Hammersmith and Fulham 002D,514,43,156.00 
E01001954,Hammersmith and Fulham 003A,2797,2558,372.00 
E01001956,Hammersmith and Fulham 003B,2698,2905,1213.00 
E01001959,Hammersmith and Fulham 003C,1536,1757,2268.00 
E01001960,Hammersmith and Fulham 003D,4373,3280,269.00 
E01001943,Hammersmith and Fulham 004A,4258,2578,4164.00 
E01001944,Hammersmith and Fulham 004B,1930,202,116.00 
E01001945,Hammersmith and Fulham 004C,3838,3025,849.00 
E01001946,Hammersmith and Fulham 004D,3664,2740,1021.00 
E01001862,Hammersmith and Fulham 005A,3362,2385,422.00 
E01001940,Hammersmith and Fulham 005B,3227,2174,271.00 
E01001941,Hammersmith and Fulham 005C,4411,2950,1434.00 
E01001942,Hammersmith and Fulham 005D,4175,3062,444.00 
E01001858,Hammersmith and Fulham 006A,3460,2495,1043.00 
E01001860,Hammersmith and Fulham 006B,3136,1718,351.00 
E01001861,Hammersmith and Fulham 006C,2797,2540,201.00 
E01001863,Hammersmith and Fulham 006D,3482,3656,306.00 
E01001864,Hammersmith and Fulham 006E,3387,3112,193.00 
E01001852,Hammersmith and Fulham 007A,4747,3670,202.00 
E01001853,Hammersmith and Fulham 007B,4301,4188,295.00 
E01001854,Hammersmith and Fulham 007C,4386,3087,124.00 
E01001857,Hammersmith and Fulham 007D,2552,1092,154.00 
E01001859,Hammersmith and Fulham 008A,4670,2565,700.00 
E01001865,Hammersmith and Fulham 008B,3871,3891,886.00 
E01001927,Hammersmith and Fulham 008C,3820,4697,2367.00 
E01001930,Hammersmith and Fulham 008D,4146,3147,3066.00 
E01001895,Hammersmith and Fulham 009A,3674,3708,362.00 
E01001896,Hammersmith and Fulham 009B,3311,2828,320.00 
E01001897,Hammersmith and Fulham 009C,3696,4506,490.00 
E01001929,Hammersmith and Fulham 009D,3611,4620,338.00 
E01001851,Hammersmith and Fulham 010A,4313,4667,550.00 
E01001855,Hammersmith and Fulham 010B,4557,4061,216.00 
E01001856,Hammersmith and Fulham 010C,3696,3035,300.00 
E01001869,Hammersmith and Fulham 010D,3725,4736,2848.00 
E01001873,Hammersmith and Fulham 010E,3337,2976,93.00 
E01001928,Hammersmith and Fulham 011A,3820,3984,2182.00 
E01001931,Hammersmith and Fulham 011B,3645,2646,137.00 
E01001932,Hammersmith and Fulham 011C,4121,3157,2048.00 
E01001933,Hammersmith and Fulham 011D,3407,4069,2100.00 
E01001866,Hammersmith and Fulham 012A,4184,4030,1524.00 
E01001867,Hammersmith and Fulham 012B,3674,3209,377.00 
E01001868,Hammersmith and Fulham 012C,1216,1205,81.00 
E01001870,Hammersmith and Fulham 012D,4750,3133,579.00 
E01001871,Hammersmith and Fulham 012E,4335,4106,1162.00 
E01001872,Hammersmith and Fulham 012F,4389,3810,156.00 
E01001893,Hammersmith and Fulham 013A,1301,1667,234.00 
E01001894,Hammersmith and Fulham 013B,2652,2306,1655.00 
E01001898,Hammersmith and Fulham 013C,4075,3597,3367.00 
E01001899,Hammersmith and Fulham 013D,1515,1420,1043.00 
E01001900,Hammersmith and Fulham 013E,3392,2500,1248.00 
E01001889,Hammersmith and Fulham 014A,3941,4168,1420.00 
E01001910,Hammersmith and Fulham 014B,4363,3622,254.00 
E01001913,Hammersmith and Fulham 014C,4753,4598,735.00 
E01001914,Hammersmith and Fulham 014D,4531,3109,130.00 
E01001885,Hammersmith and Fulham 015A,321,232,54.00 
E01001908,Hammersmith and Fulham 015B,4471,3333,19.00 
E01001909,Hammersmith and Fulham 015C,4156,2968,377.00 
E01001911,Hammersmith and Fulham 015D,2603,1211,1654.00 
E01001912,Hammersmith and Fulham 015E,1457,1031,471.00 
E01001886,Hammersmith and Fulham 016A,2864,2332,513.00 
E01001887,Hammersmith and Fulham 016B,3154,2425,728.00 
E01001890,Hammersmith and Fulham 016C,4585,3031,1154.00 
E01001892,Hammersmith and Fulham 016D,2451,2241,159.00 
E01001880,Hammersmith and Fulham 017A,3434,3155,1087.00 
E01001881,Hammersmith and Fulham 017B,4316,4359,807.00 
E01001882,Hammersmith and Fulham 017C,4615,4376,236.00 
E01001883,Hammersmith and Fulham 017D,3354,2882,1180.00 
E01001884,Hammersmith and Fulham 017E,3951,2831,265.00 
E01001888,Hammersmith and Fulham 018A,4082,4103,513.00 
E01001891,Hammersmith and Fulham 018B,4772,3858,1962.00 
E01001917,Hammersmith and Fulham 018C,3407,4012,741.00 
E01001918,Hammersmith and Fulham 018D,3702,4328,639.00 
E01001919,Hammersmith and Fulham 018E,3744,4605,1405.00 
E01001879,Hammersmith and Fulham 019A,3065,2982,259.00 
E01001901,Hammersmith and Fulham 019B,4115,4592,325.00 
E01001902,Hammersmith and Fulham 019C,4316,3443,174.00 
E01001903,Hammersmith and Fulham 019D,3148,2514,762.00 
E01001920,Hammersmith and Fulham 020A,2921,2507,1790.00 
E01001921,Hammersmith and Fulham 020B,3903,4415,533.00 
E01001922,Hammersmith and Fulham 020C,4029,4708,2230.00 
E01001923,Hammersmith and Fulham 020D,3820,4395,807.00 
E01001924,Hammersmith and Fulham 020E,4280,4759,536.00 
E01001947,Hammersmith and Fulham 021A,1166,616,51.00 
E01001948,Hammersmith and Fulham 021B,4726,4390,843.00 
E01001949,Hammersmith and Fulham 021C,4308,4650,259.00 
E01001950,Hammersmith and Fulham 021D,4400,4704,710.00 
E01001951,Hammersmith and Fulham 021E,4340,4195,605.00 
E01001953,Hammersmith and Fulham 021F,3199,2971,438.00 
E01001904,Hammersmith and Fulham 022A,4273,4439,1358.00 
E01001905,Hammersmith and Fulham 022B,4456,4535,343.00 
E01001906,Hammersmith and Fulham 022C,4295,4426,101.00 
E01001907,Hammersmith and Fulham 022D,3529,4588,129.00 
E01001935,Hammersmith and Fulham 023A,4606,3906,712.00 
E01001939,Hammersmith and Fulham 023C,3847,3080,3659.00 
E01032788,Hammersmith and Fulham 023D,2167,3051,874.00 
E01032789,Hammersmith and Fulham 023E,3045,3579,6.00 
E01032790,Hammersmith and Fulham 023F,2265,3892,240.00 
E01001915,Hammersmith and Fulham 024A,3876,4675,4104.00 
E01001916,Hammersmith and Fulham 024B,3976,4725,3862.00 
E01001926,Hammersmith and Fulham 024C,4087,4732,406.00 
E01001952,Hammersmith and Fulham 024D,4602,3963,503.00 
E01001925,Hammersmith and Fulham 025A,3903,4783,1376.00 
E01001934,Hammersmith and Fulham 025B,2774,2757,2105.00 
E01001937,Hammersmith and Fulham 025C,4503,4546,2277.00 
E01001938,Hammersmith and Fulham 025D,2552,2596,690.00 
E01001969,Haringey 001A,3194,1154,1427.00 
E01001971,Haringey 001B,1715,98,1090.00 
E01001974,Haringey 001C,4301,2022,2001.00 
E01001975,Haringey 001D,3205,2060,886.00 
E01002036,Haringey 002A,260,32,1917.00 
E01002037,Haringey 002B,649,20,4573.00 
E01002039,Haringey 002C,129,1,203.00 
E01002040,Haringey 002D,1012,157,1502.00 
E01001962,Haringey 004A,3653,3659,4308.00 
E01001970,Haringey 004B,2801,637,2556.00 
E01001972,Haringey 004C,2768,1203,2497.00 
E01001973,Haringey 004D,4082,2738,4033.00 
E01002090,Haringey 005A,376,367,2752.00 
E01002093,Haringey 005B,271,49,2784.00 
E01002096,Haringey 005C,632,118,2137.00 
E01002097,Haringey 005D,584,164,723.00 
E01002091,Haringey 006A,265,14,2495.00 
E01002092,Haringey 006B,988,84,2467.00 
E01002094,Haringey 006C,538,155,3054.00 
E01002095,Haringey 006D,584,161,3341.00 
E01002098,Haringey 007A,2946,2283,2302.00 
E01002101,Haringey 007B,2570,1226,2457.00 
E01002102,Haringey 007C,3311,1218,3620.00 
E01002105,Haringey 007D,3311,580,1167.00 
E01002099,Haringey 008A,1612,27,1684.00 
E01002100,Haringey 008B,1957,368,1368.00 
E01002103,Haringey 008C,2391,1039,1920.00 
E01002104,Haringey 008D,1648,805,1878.00 
E01001963,Haringey 009A,4316,4466,4302.00 
E01001964,Haringey 009B,3976,3861,4462.00 
E01001965,Haringey 009C,4213,4364,1021.00 
E01001966,Haringey 009D,3802,4561,4314.00 
E01002027,Haringey 010A,2307,878,762.00 
E01002028,Haringey 010B,2874,927,950.00 
E01002032,Haringey 010C,1866,188,655.00 
E01002033,Haringey 010D,1990,320,1001.00 
E01001976,Haringey 011A,1012,294,619.00 
E01001977,Haringey 011B,649,171,406.00 
E01001978,Haringey 011C,1463,141,1180.00 
E01001979,Haringey 011D,1930,40,2300.00 
E01002074,Haringey 012A,1020,50,1188.00 
E01002077,Haringey 012B,689,13,1363.00 
E01002079,Haringey 012C,1062,569,647.00 
E01002081,Haringey 012D,618,4,1317.00 
E01002082,Haringey 013A,106,6,2258.00 
E01002086,Haringey 013B,1622,327,2989.00 
E01002088,Haringey 013C,2844,1070,2543.00 
E01002089,Haringey 013D,60,2,25.00 
E01001967,Haringey 014A,4202,4536,1991.00 
E01001968,Haringey 014B,4517,4088,1363.00 
E01001996,Haringey 014C,3933,3980,2984.00 
E01001997,Haringey 014D,4362,4031,2227.00 
E01002075,Haringey 015A,995,96,3927.00 
E01002076,Haringey 015B,1175,86,724.00 
E01002078,Haringey 015C,2492,214,3332.00 
E01002080,Haringey 015D,1668,591,4460.00 
E01002026,Haringey 016A,1216,30,903.00 
E01002029,Haringey 016B,2417,334,2883.00 
E01002030,Haringey 016C,3022,1482,3298.00 
E01002031,Haringey 016D,3595,790,1345.00 
E01001991,Haringey 017A,4444,4151,1050.00 
E01001992,Haringey 017B,4400,4634,4033.00 
E01001993,Haringey 017C,4426,4686,3260.00 
E01001995,Haringey 017D,3847,2642,4094.00 
E01001980,Haringey 018A,2223,480,771.00 
E01001981,Haringey 018B,1849,438,506.00 
E01001982,Haringey 018C,2153,534,584.00 
E01001983,Haringey 018D,2440,1230,558.00 
E01002083,Haringey 019A,1943,1554,1616.00 
E01002084,Haringey 019B,2492,1121,3540.00 
E01002085,Haringey 019C,3622,640,1154.00 
E01002087,Haringey 019D,2451,663,833.00 
E01002014,Haringey 020B,4335,3046,1878.00 
E01002015,Haringey 020C,2883,1990,969.00 
E01002018,Haringey 020D,2856,2612,978.00 
E01033085,Haringey 020E,4273,1463,1655.00 
E01033086,Haringey 020F,344,33,83.00 
E01002020,Haringey 021A,3903,3711,3415.00 
E01002022,Haringey 021B,4756,3997,2422.00 
E01002023,Haringey 021C,4091,4366,1759.00 
E01002025,Haringey 021D,4609,4632,4029.00 
E01002013,Haringey 022A,3773,4045,969.00 
E01002019,Haringey 022B,3778,4497,3045.00 
E01002021,Haringey 022C,4151,4485,2155.00 
E01002024,Haringey 022D,3194,4025,1631.00 
E01001998,Haringey 023A,4503,2454,1636.00 
E01001999,Haringey 023B,4203,1779,1468.00 
E01002003,Haringey 023C,3362,315,2694.00 
E01002004,Haringey 023D,4044,2068,928.00 
E01002067,Haringey 024A,1397,153,1434.00 
E01002069,Haringey 024B,2323,169,1707.00 
E01002070,Haringey 024C,3161,675,1741.00 
E01002073,Haringey 024D,1474,222,776.00 
E01002066,Haringey 025A,1409,95,2318.00 
E01002068,Haringey 025B,2725,577,3462.00 
E01002071,Haringey 025C,1040,28,710.00 
E01002072,Haringey 025D,2373,150,2099.00 
E01002043,Haringey 026A,3036,625,735.00 
E01002045,Haringey 026B,2801,423,1319.00 
E01002046,Haringey 026C,1389,280,1872.00 
E01002049,Haringey 026D,2142,374,1046.00 
E01002042,Haringey 027A,2440,1190,2943.00 
E01002044,Haringey 027B,3416,1352,394.00 
E01002047,Haringey 027C,3529,1387,588.00 
E01002048,Haringey 027D,3378,1066,991.00 
E01002016,Haringey 028A,4483,3138,1866.00 
E01002017,Haringey 028B,4329,3483,1263.00 
E01002059,Haringey 028C,3664,3199,2877.00 
E01002060,Haringey 028D,4567,4078,1055.00 
E01002050,Haringey 029A,303,2019,735.00 
E01002051,Haringey 029B,1266,419,998.00 
E01002052,Haringey 029C,376,1666,2591.00 
E01002055,Haringey 029D,324,1864,481.00 
E01001994,Haringey 030A,4498,4241,3766.00 
E01002008,Haringey 030B,4082,4690,4474.00 
E01002010,Haringey 030C,4140,4079,4427.00 
E01002011,Haringey 030D,4540,3944,4476.00 
E01002000,Haringey 031A,3823,2510,1739.00 
E01002001,Haringey 031B,4113,2576,677.00 
E01002002,Haringey 031C,4063,1472,4479.00 
E01002058,Haringey 031D,3601,1508,1623.00 
E01002053,Haringey 032A,1567,219,1405.00 
E01002054,Haringey 032B,833,16,303.00 
E01002056,Haringey 032C,3045,428,2564.00 
E01002057,Haringey 032D,2480,801,1691.00 
E01001984,Haringey 033A,4449,3888,2349.00 
E01001985,Haringey 033B,4676,4465,2191.00 
E01001987,Haringey 033C,4773,4578,3539.00 
E01001989,Haringey 033D,4597,4353,3377.00 
E01001986,Haringey 034A,4454,4169,1221.00 
E01001988,Haringey 034B,4625,4011,1949.00 
E01001990,Haringey 034C,4820,3844,1580.00 
E01002062,Haringey 034D,4726,3715,2340.00 
E01002005,Haringey 035A,4731,4171,459.00 
E01002006,Haringey 035B,4639,4112,760.00 
E01002007,Haringey 035C,4730,4430,1847.00 
E01002009,Haringey 035D,4680,4515,2915.00 
E01002061,Haringey 036A,4664,3982,1829.00 
E01002063,Haringey 036B,4236,3293,1358.00 
E01002064,Haringey 036C,3378,1752,447.00 
E01002065,Haringey 036D,4577,3076,1209.00 
E01002034,Haringey 037A,456,7,3336.00 
E01002038,Haringey 037B,324,10,1311.00 
E01002041,Haringey 037C,1488,99,1096.00 
E01032575,Haringey 037D,947,74,1439.00 
E01002755,Islington 001A,1775,2373,527.00 
E01002756,Islington 001B,3352,3900,849.00 
E01002758,Islington 001C,1831,1720,943.00 
E01002804,Islington 001D,2870,2290,756.00 
E01002807,Islington 001E,2856,2312,435.00 
E01002811,Islington 001F,2689,2720,597.00 
E01002753,Islington 002A,2440,2423,280.00 
E01002754,Islington 002B,3764,4480,1014.00 
E01002757,Islington 002C,2807,3485,412.00 
